C1,A1,action,strength,C1_afteraction,A1_afteraction
0.8206,2.114,change A1 (A1 coarse),75.0,0.8173,1.034
-1.476,2.872,change A1 (A1 coarse),75.0,-1.96,2.93
-1.274,3.325,change A1 (A1 coarse),75.0,0.5241,0.9883
-0.2541,1.892,change A1 (A1 coarse),75.0,-0.0249,1.556
1.892,1.931,change A1 (A1 coarse),75.0,1.621,0.9617000000000001
1.488,1.29,change A1 (A1 coarse),75.0,1.507,1.152
1.788,2.369,change A1 (A1 coarse),75.0,-0.218,4.781
0.3501,4.293,change A1 (A1 coarse),75.0,1.118,4.406
1.011,3.181,change A1 (A1 coarse),75.0,0.7571,3.123
1.482,3.31,change A1 (A1 coarse),75.0,0.11240000000000001,4.699
-0.003733,3.677,change A1 (A1 coarse),75.0,1.788,2.504
1.222,2.798,change A1 (A1 coarse),75.0,-0.744,3.108
-0.744,3.108,change A1 (A1 coarse),75.0,1.174,2.503
0.7816000000000001,2.487,change A1 (A1 coarse),75.0,0.374,2.927
0.374,2.927,change A1 (A1 coarse),50.0,0.30460000000000004,1.906
0.5737000000000001,2.609,change A1 (A1 coarse),50.0,0.6942,2.55
-0.968,2.078,change A1 (A1 coarse),50.0,-1.163,2.689
-1.163,2.689,change A1 (A1 coarse),50.0,-1.079,1.481
8.721,4.249,change A1 (A1 coarse),50.0,8.725,4.122
8.725,4.122,change A1 (A1 coarse),50.0,9.655,4.208
9.977,4.164,change A1 (A1 coarse),50.0,9.287,4.0
3.29,2.63,change A1 (A1 coarse),50.0,8.362,2.723
8.362,2.723,change A1 (A1 coarse),50.0,8.983,2.245
8.683,2.126,change A1 (A1 coarse),50.0,8.001,1.839
8.001,1.839,change A1 (A1 coarse),50.0,6.749,2.362
6.749,2.362,change A1 (A1 coarse),50.0,8.076,1.962
8.076,1.962,change A1 (A1 coarse),50.0,7.328,1.338
7.328,1.338,change A1 (A1 coarse),50.0,7.687,0.677
7.687,0.677,change A1 (A1 coarse),50.0,7.333,1.656
2.516,26.62,change A1 (A1 coarse),50.0,-0.22990000000000002,20.82
-0.22990000000000002,20.82,change A1 (A1 coarse),50.0,2.083,7.205
2.083,7.205,change A1 (A1 coarse),50.0,1.294,5.104
1.294,5.104,change A1 (A1 coarse),50.0,1.911,3.132
1.911,3.132,change A1 (A1 coarse),50.0,1.116,3.301
1.116,3.301,change A1 (A1 coarse),50.0,1.642,1.694
1.642,1.694,change A1 (A1 coarse),50.0,1.789,2.019
1.647,1.178,change A1 (A1 coarse),50.0,-15.06,1.472
1.265,12.08,change A1 (A1 coarse),50.0,-1.215,8.103
-1.469,4.365,change A1 (A1 coarse),50.0,-1.519,3.127
-1.733,3.101,change A1 (A1 coarse),50.0,-1.732,3.994
-1.825,10.14,change A1 (A1 coarse),50.0,-3.108,7.564
-3.108,7.564,change A1 (A1 coarse),50.0,-2.332,4.149
-2.332,4.149,change A1 (A1 coarse),50.0,-1.323,1.77
1.669,37.12,change A1 (A1 coarse),50.0,-21.6,53.89
-21.6,53.89,change A1 (A1 coarse),50.0,7.675,33.42
7.675,33.42,change A1 (A1 coarse),50.0,-20.97,14.34
-20.97,14.34,change A1 (A1 coarse),50.0,2.326,18.25
2.326,18.25,change A1 (A1 coarse),50.0,1.307,26.47
1.307,26.47,change A1 (A1 coarse),50.0,5.373,21.12
5.373,21.12,change A1 (A1 coarse),50.0,-13.5,10.67
-13.5,10.67,change A1 (A1 coarse),50.0,11.85,7.491
11.85,7.491,change A1 (A1 coarse),50.0,6.894,20.63
6.894,20.63,change A1 (A1 coarse),50.0,17.28,16.14
