#{"t_start": 1773881422.0539432, "env_id": "None"}
r,l,t
64.26927,12,28.609277
106.56162,21,28.612585
68.28082,65,28.615019
95.35967,62,28.620604
72.6454,46,28.626723
69.639015,29,28.628728
100.19955,28,28.634183
135.8268,53,28.634841
48.392113,8,28.638584
144.03009,243,28.638597
79.43887,27,28.640568
54.79616,83,28.645677
99.8635,17,28.64674
37.53659,8,28.650714
91.34712,29,28.66443
66.21069,63,28.665589
133.67409,161,28.671171
128.92905,68,28.673238
93.50092,128,28.675211
105.027374,100,28.678021
64.04875,16,28.682864
136.97816,19,28.682886
59.711792,39,28.684017
49.84254,81,31.64009
108.40223,100,31.642414
131.24179,26,31.64611
112.07702,13,31.64727
16.293365,43,31.648383
128.12299,25,31.650959
122.5212,71,31.656224
73.860176,28,31.660083
86.37779,12,31.66208
112.2697,58,31.666833
96.71875,41,31.668383
62.79894,11,31.672162
68.906876,61,31.6728
51.138084,46,31.674441
82.170906,15,31.680561
78.29345,15,31.687693
115.286835,13,31.693858
126.22808,62,31.703333
132.3065,114,31.703349
104.54042,16,31.710961
71.26549,149,31.712495
122.17688,127,31.721869
104.05092,121,31.727088
90.23672,16,31.730431
41.17693,58,31.740366
194.70444,165,31.74238
135.20952,27,31.743009
135.70546,92,31.747663
96.53066,163,31.752411
71.52599,123,31.753893
23.70195,14,31.755463
12.24861,17,31.76246
79.46924,18,31.764587
108.21336,72,35.167087
110.329475,70,35.169425
106.60486,72,35.171087
49.10622,15,35.175994
55.454502,63,35.176639
102.82542,57,35.182517
73.17859,15,35.184106
73.84141,29,35.185688
106.87944,40,35.18953
86.50615,2,35.190595
102.1218,13,35.196755
11.709384,13,35.203008
109.7903,43,35.20506
82.61401,18,35.211788
143.07664,75,35.213352
42.56723,9,35.217674
82.54148,82,35.223122
159.45879,139,35.225966
97.837654,41,35.226564
21.904734,34,35.230025
163.03276,223,35.231103
63.641434,20,35.235855
85.75999,36,35.241789
78.790016,26,35.248492
93.16852,126,35.248509
11.887103,1,35.249144
90.366646,27,35.255088
131.62114,61,35.256649
33.999367,16,35.256662
66.97628,39,35.268187
48.494637,35,35.273535
93.05192,97,35.277545
62.057117,47,35.278191
141.84074,122,35.278854
5.061363,1,35.278865
78.83883,21,35.278871
109.06447,108,35.284239
59.469467,15,38.766273
125.27236,10,38.769947
36.235756,30,38.78201
118.41605,91,38.782697
168.79742,402,38.783845
60.407608,49,38.786526
103.25027,52,38.787205
33.80499,16,38.792531
60.31338,16,38.794152
95.87373,80,38.79716
66.70874,31,38.801309
73.005424,38,38.812223
102.596924,53,38.814331
114.071236,6,38.815428
97.28229,107,38.816596
120.429,62,38.81863
101.300316,13,38.823047
33.673405,15,38.823059
111.97594,68,38.829269
23.250433,69,38.832569
20.683147,23,38.834532
120.45711,40,38.834543
76.488495,32,38.83455
73.313934,67,38.835182
153.88725,124,38.835795
103.88803,16,38.837409
56.747574,34,38.840325
81.4513,21,38.845137
67.75144,27,38.848943
97.153824,29,38.848956
125.7592,29,38.851445
57.16406,11,38.856623
65.05094,42,38.860391
75.695015,27,38.862112
93.3986,11,38.866039
97.878334,77,38.870407
76.60105,36,38.874457
64.08875,61,38.875136
111.37994,89,38.878567
55.672775,64,38.880499
60.108456,21,38.88115
86.06419,39,38.881817
95.76191,9,38.885226
85.507706,105,38.887158
62.58711,53,38.892398
123.53744,17,38.894033
66.57892,15,38.895156
110.441765,31,38.897507
36.037468,5,41.46153
57.97108,14,41.464361
58.85135,10,41.46973
78.14707,61,41.474393
107.75003,27,41.4755
158.77628,106,41.491961
120.72636,53,41.499437
99.250885,78,41.500069
145.90723,124,41.501162
71.22152,92,41.503688
49.10177,12,41.505868
153.87375,92,41.514369
144.48965,144,41.517349
105.06912,36,41.517963
123.98172,42,41.524041
44.21347,48,41.537774
62.67196,37,41.542092
96.38038,6,41.544985
66.66497,7,41.548309
72.510826,66,41.549431
88.94612,120,41.550966
53.267532,34,41.554847
125.67353,85,41.559539
50.695103,25,41.562056
80.02876,7,41.563101
104.48597,30,41.565603
109.25673,12,41.568954
121.6786,137,41.572848
29.260424,9,41.573441
139.76979,157,41.578263
82.72641,18,41.582103
59.924328,28,41.586377
110.53028,237,44.796397
86.01838,82,44.800621
67.239365,70,44.805673
78.520485,24,44.810464
104.61962,113,44.812159
71.49406,27,44.816274
14.663832,9,44.816961
113.35574,15,44.823796
86.58519,47,44.833792
75.80354,95,44.836784
93.26461,98,44.842583
84.69081,14,44.843637
130.83698,151,44.844552
154.79118,126,44.848387
104.44177,73,44.853699
80.5248,22,44.855672
91.756615,76,44.861706
144.6187,55,44.861727
117.17747,40,44.864576
143.49449,34,44.86991
79.802246,57,44.87149
139.95724,141,44.877705
57.81803,30,44.879246
117.68815,20,44.879852
43.292667,13,44.884253
113.43256,78,44.893212
127.65951,91,44.893229
83.95059,29,44.893848
101.85819,33,44.895414
89.33193,26,44.905894
19.938622,36,44.911194
98.44489,106,44.913608
79.04993,104,47.848256
42.071087,55,47.848503
72.56278,62,47.851296
92.610634,5,47.852543
52.927654,86,47.854171
22.525469,6,47.855847
58.13125,11,47.855863
53.989746,13,47.858398
123.74142,6,47.859058
67.14749,9,47.860677
101.63594,54,47.861439
85.50289,20,47.868927
84.61277,54,47.868948
58.452423,25,47.871847
98.876595,8,47.873058
81.327866,24,47.873073
104.18011,10,47.877859
112.63847,36,47.879413
75.7497,27,47.882439
120.97932,94,47.886749
107.78014,25,47.894207
119.99255,50,47.897107
117.27419,86,47.912477
74.80366,76,47.91579
83.70814,42,47.917326
77.93633,10,47.920664
154.82617,140,47.923187
59.782093,71,47.928353
49.92846,18,47.936718
141.93791,50,47.937362
139.79071,39,47.941714
107.77334,57,47.944736
85.26827,29,47.950932
132.8571,152,47.959189
87.75323,99,47.967577
107.85296,61,47.975113
141.63042,87,51.145863
114.33472,212,51.146577
170.63225,390,51.146596
90.603355,6,51.151754
46.849136,9,51.15291
105.59314,27,51.153592
102.77404,6,51.15517
54.72285,56,51.156345
81.93902,74,51.156357
100.89823,16,51.157415
20.916107,14,51.163358
26.735044,22,51.164948
81.42031,33,51.172638
78.52458,18,51.173746
133.87006,124,51.17484
60.70482,2,51.175965
49.30989,5,51.178482
88.10502,14,51.180407
17.93306,14,51.185654
28.929907,21,51.190437
117.62395,66,51.190449
56.144997,71,51.191529
120.58914,11,51.191539
65.14176,110,51.193127
77.27493,5,51.195632
25.497454,14,51.198598
104.11185,49,51.199241
87.180115,9,51.200903
41.23937,19,51.201684
117.00964,4,51.202325
102.09467,4,51.204299
88.98872,13,51.208115
127.54305,109,51.209614
145.52126,92,51.211109
98.22756,17,51.216287
76.53725,10,51.221043
139.64662,25,51.221877
135.23671,64,51.223884
125.7986,67,51.225828
55.06075,55,51.226922
80.61029,34,51.227982
114.22214,9,51.228863
85.213036,49,51.228874
46.337666,62,51.232299
74.02238,13,51.233845
112.246216,29,51.236228
118.319916,12,51.238191
95.36005,11,51.239584
87.11428,24,51.240853
122.062935,36,51.240866
28.597475,24,51.241506
61.30759,7,51.242604
57.629177,18,51.246013
25.310528,10,51.247558
83.857056,14,51.248199
129.90717,6,51.249244
109.85284,50,51.252312
21.982996,8,51.253369
39.866505,25,51.254424
85.01791,19,51.257847
73.35765,13,51.258917
25.062338,40,51.261374
122.700096,47,51.263894
18.185055,30,51.272322
48.22039,45,53.688083
124.06464,97,53.689768
82.60099,40,53.692972
137.98041,48,53.69941
79.69528,59,53.700078
73.03117,36,53.702604
20.897852,37,53.707204
41.69659,85,53.707834
129.07138,29,53.70785
50.71589,15,53.714861
98.27368,31,53.715487
78.32271,62,53.720632
54.85236,20,53.724845
125.15245,56,53.726892
89.74397,54,53.728849
123.87511,23,53.731737
47.17859,10,53.733769
52.6567,15,53.738883
114.14561,33,53.740906
128.01721,74,53.750549
63.66309,37,53.751616
125.53765,48,53.761688
135.21193,114,53.761705
84.305855,18,53.770152
38.649506,40,53.770166
102.24619,132,53.770825
133.24095,65,53.771896
36.67116,11,53.775712
130.64026,19,53.779872
141.68762,42,53.781879
65.55486,69,53.783408
107.25076,19,53.784934
34.06703,3,53.786421
112.839516,23,53.791151
72.48428,20,53.7931
99.96866,142,53.795028
89.63,56,53.800046
105.06443,36,53.800692
100.68083,15,53.804057
88.336784,23,53.804068
43.201225,91,56.854708
102.51765,327,56.860358
79.8348,39,56.863217
110.02877,59,56.863898
106.45835,8,56.868421
97.956055,58,56.870146
46.91753,51,56.87016
28.8524,7,56.87217
124.78037,93,56.874731
102.69983,13,56.876797
67.4996,25,56.886787
79.098816,60,56.891184
89.134995,52,56.895579
36.568954,66,56.896716
100.55345,60,56.906253
89.19042,19,56.906269
33.33566,24,56.907759
73.501686,44,56.908847
75.59092,13,56.914531
95.20575,91,56.91751
80.23044,164,56.923125
93.193535,38,56.927426
59.250103,36,56.939922
76.87677,31,56.941969
134.08888,105,56.942603
91.57575,95,56.951919
78.66851,21,56.952553
122.729454,197,56.953614
51.417397,7,56.95738
49.697544,87,56.958108
62.815548,32,56.959729
140.08784,87,56.961235
83.91068,9,56.962748
127.708145,16,56.962758
38.600403,16,56.9638
19.677925,3,56.965381
17.148106,9,56.965993
69.06943,11,56.968497
109.49496,57,56.97075
114.43342,23,56.977275
105.13357,18,56.977288
6.524326,3,56.978772
18.076235,43,59.837991
150.10422,62,59.842201
50.09659,42,59.842906
66.775955,30,59.844041
122.0239,177,59.847048
128.33849,11,59.848697
140.36075,74,59.851716
109.52742,56,59.858422
80.29962,19,59.86091
97.70183,51,59.864099
92.45463,109,59.864122
127.8721,55,59.870045
45.579002,54,59.871225
13.204199,1,59.871853
135.4569,27,59.872455
76.264565,17,59.873049
98.4635,7,59.874155
72.609535,24,59.876633
72.52516,34,59.892738
130.82495,49,59.896716
119.115555,72,59.896731
55.399822,2,59.899807
61.925095,55,59.900868
98.7351,57,59.902438
117.26385,21,59.905822
54.738873,3,59.907353
56.339546,15,59.907983
90.427284,66,59.909042
48.735977,4,59.909649
104.30096,122,59.912186
89.838295,21,59.913742
135.73203,10,59.914364
86.93122,11,59.917789
123.16415,137,59.918419
117.43517,48,59.923617
59.36697,25,59.926606
129.42027,38,59.928635
84.81383,32,59.930127
94.20398,23,59.930138
122.79569,57,59.936862
64.1586,38,59.936876
51.27908,9,59.941276
79.64634,31,59.942413
94.65506,31,59.94566
38.700615,7,59.946246
113.78338,35,59.946873
122.800026,15,59.952968
90.67842,64,59.955899
127.758385,38,62.548509
142.32191,127,62.549276
97.14826,3,62.550472
20.130697,5,62.553206
26.512133,6,62.556299
134.66978,66,62.558838
131.62096,61,62.568564
75.46025,104,62.573874
80.80447,7,62.577112
129.8025,44,62.578637
75.1989,9,62.58161
57.468117,65,62.590826
105.98927,26,62.590841
108.37685,155,62.591451
77.13406,5,62.593434
148.53864,111,62.595332
99.43969,61,62.597771
151.47676,140,62.600195
42.94745,15,62.604828
59.59698,113,62.605439
92.9006,39,62.610133
123.16287,42,62.611227
56.983273,64,62.612315
27.8081,12,62.616087
33.02033,48,62.616732
116.08077,13,62.62215
64.86194,27,62.624103
117.51348,39,62.630533
127.7269,75,62.635652
117.55082,65,62.635663
134.1316,25,62.635669
88.38072,93,62.63986
112.98962,32,62.64577
74.36222,21,62.645781
107.33343,64,62.646915
97.55672,93,62.650609
66.07084,35,62.653661
19.082342,16,62.65486
45.69344,11,62.656462
92.892105,9,62.65938
68.5305,14,62.663194
79.37954,73,62.672534
124.08558,32,65.240862
53.07739,115,65.245104
124.03605,68,65.246752
114.649475,42,65.251883
25.537893,25,65.252994
94.93449,91,65.253619
95.78825,9,65.256564
80.4375,28,65.260866
101.484886,21,65.263732
111.16431,4,65.265767
126.07223,119,65.274145
139.45241,30,65.275228
127.28745,75,65.279391
35.399185,11,65.279407
56.87518,49,65.280038
60.69309,59,65.281559
52.994297,125,65.283158
56.017773,81,65.287872
56.107918,21,65.291681
57.256187,44,65.300496
100.09454,12,65.306217
99.73998,62,65.309482
89.5444,62,65.310129
69.12092,67,65.315294
93.66689,113,65.3201
100.76564,59,65.320116
69.981346,21,65.320124
118.03293,98,65.322528
49.615185,21,65.327269
101.550125,20,65.331571
139.79236,94,65.335141
93.08638,23,65.335725
36.47642,18,65.336326
52.8785,30,65.33694
84.55847,12,65.338014
49.901836,24,65.347675
97.72269,27,65.3488
58.477005,23,65.348813
48.50563,81,65.350824
34.504677,37,65.353369
68.458916,104,65.358983
94.98513,28,65.36241
105.451385,29,65.363032
125.326035,23,65.364623
77.442665,35,65.365237
122.61774,58,65.365246
122.08719,89,65.366618
80.07478,7,68.004467
61.46783,39,68.006353
126.59031,14,68.013404
140.34656,35,68.017086
59.888855,38,68.018181
75.33987,35,68.018876
113.060234,39,68.024668
103.7427,20,68.027204
73.84445,18,68.027909
122.877754,23,68.029878
124.79711,57,68.030966
101.70302,8,68.033886
46.09841,84,68.037778
107.60972,22,68.038429
25.634283,6,68.040955
52.569942,44,68.049311
55.98963,43,68.051771
87.18352,30,68.055114
95.95252,46,68.056163
53.622856,11,68.057247
53.35559,68,68.058302
116.127045,41,68.058314
51.37778,19,68.059008
116.55548,7,68.06094
114.193275,126,68.064526
55.93088,102,68.064541
124.99001,21,68.066699
87.94819,20,68.06728
95.63036,19,68.068748
113.79002,28,68.07341
86.087616,18,68.074037
103.24884,31,68.076862
83.98661,23,68.079715
51.126987,47,68.082173
89.41754,45,68.088763
127.03412,6,68.091658
86.926765,36,68.094352
79.753174,11,68.09719
93.05354,79,68.104686
111.808685,72,68.109191
126.31454,10,68.110281
77.26561,10,68.114094
97.46648,66,68.114687
78.074554,10,68.119456
40.382576,25,68.122342
80.114815,18,68.122968
106.605255,103,68.124119
112.53417,60,68.12413
51.344746,139,70.871662
65.44896,22,70.873672
77.167,46,70.881425
60.023678,30,70.887271
108.65028,21,70.891828
154.69916,58,70.89185
138.25572,15,70.894942
119.39148,44,70.896104
57.366787,129,70.900665
27.415253,20,70.902218
110.85935,180,70.908019
56.411762,32,70.912302
76.04526,25,70.914256
39.178406,7,70.915877
128.28632,13,70.915891
64.53739,46,70.916648
38.66681,11,70.921555
72.20402,121,70.923612
96.8666,125,70.9262
82.26391,46,70.926843
