env_id,episode,meta_step,phase,phase_j,action_sub,base_action_idx,action_str,reward,deviation_exploded,C1A1_gate_ok,High_gate_ok,C1,A1,A2,B2,A3,S3,C3
4,179,1,HIGH,0,15,15,S3 10%,-11.258396295166014,False,False,False,-2.7,0.3,499.6,348.2,2839.9,1964.1,2833.2
4,179,1,HIGH,1,25,30,C3 30%,-11.258396295166014,False,False,False,-7.6,0.6,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,0,11,39,C1 50%,,False,False,False,-7.6,7.6,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,1,10,38,C1 30%,,False,False,False,-3.8,6.2,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,2,9,37,C1 20%,,False,False,False,-4.2,7.0,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,3,2,22,A1 30%,,False,False,False,-8.0,6.4,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,4,8,36,C1 15%,,False,False,False,-8.0,6.4,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,5,9,37,C1 20%,,False,False,False,-9.9,5.5,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,6,6,34,C1 5%,,False,False,False,-9.3,5.7,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,7,2,22,A1 30%,,False,False,False,-12.8,4.5,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,8,7,35,C1 10%,,False,False,False,-11.5,4.7,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,9,7,35,C1 10%,,False,False,False,-9.5,4.7,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,10,0,20,A1 10%,,False,False,False,-8.4,5.4,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,11,12,40,C1 100%,,False,False,False,-5.0,2.9,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,12,7,35,C1 10%,,False,False,False,-6.6,2.9,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,13,5,33,C1 1%,,False,False,False,-6.5,3.0,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,14,10,38,C1 30%,,False,False,False,-1.3,2.0,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,15,7,35,C1 10%,,False,False,False,-1.4,1.2,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,16,3,23,A1 50%,,False,False,False,-1.5,1.6,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,17,1,21,A1 20%,,False,False,False,-1.3,0.9,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,18,10,38,C1 30%,,False,False,False,-6.5,4.9,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,19,2,22,A1 30%,,False,False,False,-4.9,5.8,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,20,2,22,A1 30%,,False,False,False,-5.3,0.1,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,21,9,37,C1 20%,,False,False,False,-4.0,0.5,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,22,9,37,C1 20%,,False,False,False,-3.9,1.6,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,C1A1,23,10,38,C1 30%,,False,False,False,0.2,0.4,508.3,374.5,2839.9,2070.7,2602.0
4,179,2,HIGH,0,8,8,B2 50%,-10.910038073730467,False,False,False,-33.8,16.8,508.3,204.5,2839.9,2070.7,2602.0
4,179,2,HIGH,1,20,25,C3 1%,-10.910038073730467,False,False,False,-33.9,16.9,507.9,206.0,2839.9,2074.0,2590.3
4,179,3,C1A1,0,9,37,C1 20%,,False,False,False,-25.4,16.5,507.9,206.0,2839.9,2074.0,2590.3
4,179,3,C1A1,1,10,38,C1 30%,,False,False,False,-19.7,19.1,507.9,206.0,2839.9,2074.0,2590.3
4,179,3,C1A1,2,9,37,C1 20%,,False,False,False,-16.9,23.9,507.9,206.0,2839.9,2074.0,2590.3
4,179,3,C1A1,3,9,37,C1 20%,,False,False,False,-15.6,24.7,507.9,206.0,2839.9,2074.0,2590.3
4,179,3,C1A1,4,2,22,A1 30%,,False,False,False,-14.9,21.6,507.9,206.0,2839.9,2074.0,2590.3
4,179,3,C1A1,5,2,22,A1 30%,,False,False,False,-12.6,19.7,507.9,206.0,2839.9,2074.0,2590.3
4,179,3,C1A1,6,7,35,C1 10%,,False,False,False,-10.6,16.7,507.9,206.0,2839.9,2074.0,2590.3
4,179,3,C1A1,7,5,33,C1 1%,,False,False,False,-10.5,16.7,507.9,206.0,2839.9,2074.0,2590.3
4,179,3,C1A1,8,7,35,C1 10%,,False,False,False,-9.5,16.3,507.9,206.0,2839.9,2074.0,2590.3
