env_id,episode,meta_step,phase,phase_j,action_sub,base_action_idx,action_str,reward,deviation_exploded,C1A1_gate_ok,High_gate_ok,C1,A1,A2,B2,A3,S3,C3
1,249,1,HIGH,0,9,9,B2 100%,-10.054135424041748,False,False,False,-116.0,45.5,293.0,139.3,2233.3,2453.9,-2984.8
1,249,1,HIGH,1,4,4,A2 100%,-10.054135424041748,False,False,False,-154.0,1.0,21.2,43.9,2233.3,2453.9,-2984.8
1,249,2,C1A1,0,7,35,C1 10%,,False,True,False,-138.3,1.0,21.2,43.9,2233.3,2453.9,-2984.8
1,249,2,C1A1,1,9,37,C1 20%,,False,True,False,-111.5,0.9,21.2,43.9,2233.3,2453.9,-2984.8
1,249,2,C1A1,2,11,39,C1 50%,,False,True,False,-54.7,3.4,21.2,43.9,2233.3,2453.9,-2984.8
1,249,2,C1A1,3,9,37,C1 20%,,False,True,False,-42.3,3.4,21.2,43.9,2233.3,2453.9,-2984.8
1,249,2,C1A1,4,12,40,C1 100%,,False,True,False,-6.7,15.5,21.2,43.9,2233.3,2453.9,-2984.8
1,249,2,C1A1,5,5,33,C1 1%,,False,True,False,-6.7,15.6,21.2,43.9,2233.3,2453.9,-2984.8
1,249,2,C1A1,6,3,23,A1 50%,,False,True,False,-1.9,6.7,21.2,43.9,2233.3,2453.9,-2984.8
1,249,2,C1A1,7,1,21,A1 20%,,False,True,False,-2.8,4.5,21.2,43.9,2233.3,2453.9,-2984.8
1,249,2,C1A1,8,11,39,C1 50%,,False,True,False,-2.5,9.3,21.2,43.9,2233.3,2453.9,-2984.8
1,249,2,C1A1,9,2,22,A1 30%,,False,True,False,-1.0,10.2,21.2,43.9,2233.3,2453.9,-2984.8
1,249,2,C1A1,10,1,21,A1 20%,,False,True,False,-0.6,10.1,21.2,43.9,2233.3,2453.9,-2984.8
1,249,2,C1A1,11,1,21,A1 20%,,False,True,False,-0.6,10.1,21.2,43.9,2233.3,2453.9,-2984.8
1,249,2,C1A1,12,3,23,A1 50%,,False,True,False,1.7,2.1,21.2,43.9,2233.3,2453.9,-2984.8
1,249,2,C1A1,13,2,22,A1 30%,,False,True,False,-0.5,0.5,21.2,43.9,2233.3,2453.9,-2984.8
1,249,2,HIGH,0,12,12,A3 30%,-7.730983757019043,False,True,False,-0.5,0.5,21.2,43.9,1409.5,2453.9,-2984.8
1,249,2,HIGH,1,14,14,A3 100%,-7.730983757019043,False,True,False,-0.5,0.5,21.2,43.9,262.9,2453.9,-2984.8
1,249,3,HIGH,0,16,16,S3 20%,-4.659226164627075,False,False,False,-23.0,4.1,66.5,8.4,583.9,826.2,-2626.9
1,249,3,HIGH,1,11,11,A3 20%,-4.659226164627075,False,False,False,-23.0,4.1,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,0,0,20,A1 10%,,False,True,False,-22.8,5.2,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,1,7,35,C1 10%,,False,True,False,-21.6,5.3,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,2,0,20,A1 10%,,False,True,False,-22.8,6.6,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,3,11,39,C1 50%,,False,True,False,-11.5,23.6,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,4,6,34,C1 5%,,False,True,False,-10.9,22.7,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,5,8,36,C1 15%,,False,True,False,-9.3,20.8,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,6,2,22,A1 30%,,False,True,False,-9.3,15.1,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,7,7,35,C1 10%,,False,True,False,-8.1,14.7,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,8,6,34,C1 5%,,False,True,False,-7.1,14.3,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,9,1,21,A1 20%,,False,True,False,-7.9,11.0,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,10,7,35,C1 10%,,False,True,False,-9.4,11.8,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,11,1,21,A1 20%,,False,True,False,-14.4,10.7,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,12,9,37,C1 20%,,False,True,False,-11.7,10.4,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,13,3,23,A1 50%,,False,True,False,-11.9,3.8,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,14,8,36,C1 15%,,False,True,False,-7.9,2.2,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,15,2,22,A1 30%,,False,True,False,-6.9,0.5,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,16,2,22,A1 30%,,False,True,False,-5.2,5.1,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,17,7,35,C1 10%,,False,True,False,-4.4,5.0,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,18,6,34,C1 5%,,False,True,False,-4.6,5.4,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,19,7,35,C1 10%,,False,True,False,-4.9,6.5,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,20,10,38,C1 30%,,False,True,False,-8.9,7.4,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,21,7,35,C1 10%,,False,True,False,-7.9,6.1,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,22,1,21,A1 20%,,False,True,False,-6.6,2.9,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,23,2,22,A1 30%,,False,True,False,-2.4,3.3,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,24,10,38,C1 30%,,False,True,False,-2.4,3.3,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,25,9,37,C1 20%,,False,True,False,-1.3,0.9,66.5,8.4,438.6,826.2,-2626.9
1,249,4,C1A1,26,7,35,C1 10%,,False,True,False,1.2,0.2,66.5,8.4,438.6,826.2,-2626.9
1,249,4,HIGH,0,10,10,A3 10%,-4.472146870803833,False,True,False,1.2,0.2,66.5,8.4,377.6,826.2,-2626.9
1,249,4,HIGH,1,20,25,C3 1%,-4.472146870803833,False,True,False,1.2,0.2,66.5,8.4,377.6,826.2,-2626.9
1,249,5,HIGH,0,8,8,B2 50%,-4.440843092393875,False,False,False,-1.9,0.7,66.5,6.2,377.6,826.2,-2626.9
1,249,5,HIGH,1,4,4,A2 100%,-4.440843092393875,False,False,False,7.0,11.1,42.3,3.5,377.6,826.2,-2626.9
1,249,6,C1A1,0,1,21,A1 20%,,False,True,False,4.7,10.0,42.3,3.5,377.6,826.2,-2626.9
1,249,6,C1A1,1,10,38,C1 30%,,False,True,False,0.2,6.8,42.3,3.5,377.6,826.2,-2626.9
1,249,6,C1A1,2,0,20,A1 10%,,False,True,False,0.8,5.7,42.3,3.5,377.6,826.2,-2626.9
1,249,6,C1A1,3,0,20,A1 10%,,False,True,False,2.7,4.5,42.3,3.5,377.6,826.2,-2626.9
