env_id,episode,meta_step,phase,phase_j,action_sub,base_action_idx,action_str,reward,deviation_exploded,C1A1_gate_ok,High_gate_ok,C1,A1,A2,B2,A3,S3,C3
5,339,1,HIGH,0,10,10,A3 10%,-8.782214895629883,False,False,False,-0.4,1.5,449.6,183.1,2356.1,1014.3,2894.6
5,339,1,HIGH,1,7,7,B2 30%,-8.782214895629883,False,False,False,-18.5,1.9,449.6,76.6,2356.1,1014.3,2894.6
5,339,2,C1A1,0,0,20,A1 10%,,False,False,False,-19.0,0.3,449.6,76.6,2356.1,1014.3,2894.6
5,339,2,C1A1,1,7,35,C1 10%,,False,False,False,-17.3,0.2,449.6,76.6,2356.1,1014.3,2894.6
5,339,2,C1A1,2,10,38,C1 30%,,False,False,False,-12.2,1.4,449.6,76.6,2356.1,1014.3,2894.6
5,339,2,C1A1,3,9,37,C1 20%,,False,False,False,-10.1,2.4,449.6,76.6,2356.1,1014.3,2894.6
5,339,2,C1A1,4,9,37,C1 20%,,False,False,False,-8.8,3.5,449.6,76.6,2356.1,1014.3,2894.6
5,339,2,C1A1,5,11,39,C1 50%,,False,False,False,-6.4,12.9,449.6,76.6,2356.1,1014.3,2894.6
5,339,2,C1A1,6,3,23,A1 50%,,False,False,False,-1.1,0.6,449.6,76.6,2356.1,1014.3,2894.6
5,339,2,HIGH,0,11,11,A3 20%,-8.297469271850586,False,False,False,-1.1,0.6,449.6,76.6,2085.7,1014.3,2894.6
5,339,2,HIGH,1,20,25,C3 1%,-8.297469271850586,False,False,False,-1.3,0.4,453.4,79.2,2085.7,1028.5,2862.8
5,339,3,C1A1,0,0,20,A1 10%,,False,False,False,-1.5,1.0,453.4,79.2,2085.7,1028.5,2862.8
5,339,3,C1A1,1,8,36,C1 15%,,False,False,False,-1.5,1.0,453.4,79.2,2085.7,1028.5,2862.8
5,339,3,C1A1,2,7,35,C1 10%,,False,False,False,-1.9,0.5,453.4,79.2,2085.7,1028.5,2862.8
5,339,3,C1A1,3,12,40,C1 100%,,False,False,False,-0.4,7.6,453.4,79.2,2085.7,1028.5,2862.8
5,339,3,C1A1,4,2,22,A1 30%,,False,False,False,-0.4,3.5,453.4,79.2,2085.7,1028.5,2862.8
5,339,3,C1A1,5,3,23,A1 50%,,False,False,False,-0.4,3.5,453.4,79.2,2085.7,1028.5,2862.8
5,339,3,C1A1,6,7,35,C1 10%,,False,False,False,0.7,2.7,453.4,79.2,2085.7,1028.5,2862.8
5,339,3,C1A1,7,9,37,C1 20%,,False,False,False,-4.1,2.6,453.4,79.2,2085.7,1028.5,2862.8
5,339,3,C1A1,8,2,22,A1 30%,,False,False,False,-4.9,4.7,453.4,79.2,2085.7,1028.5,2862.8
5,339,3,C1A1,9,2,22,A1 30%,,False,False,False,-5.4,5.0,453.4,79.2,2085.7,1028.5,2862.8
5,339,3,C1A1,10,3,23,A1 50%,,False,False,False,-8.7,2.4,453.4,79.2,2085.7,1028.5,2862.8
5,339,3,C1A1,11,10,38,C1 30%,,False,False,False,-5.7,0.6,453.4,79.2,2085.7,1028.5,2862.8
5,339,3,C1A1,12,10,38,C1 30%,,False,False,False,-8.3,2.4,453.4,79.2,2085.7,1028.5,2862.8
