t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after
42112,1,90,-1,,,,,,,,,False,False,False,2.0331501960754395,2.0331501960754395,5.878262996673584,5.878262996673584
42112,1,90,0,9,37,C1,pct_button,20,,,-5.409256286621092,False,False,False,2.0331501960754395,2.801781177520752,5.878262996673584,7.916442394256592
42120,1,90,1,3,23,A1,pct_button,50,,,0.20436447143554815,False,False,False,2.801781177520752,2.801781177520752,7.916442394256592,7.916442394256592
42128,1,90,2,7,35,C1,pct_button,10,,,-1.6141908359527604,False,False,False,2.801781177520752,2.1963257789611816,7.916442394256592,9.440360069274902
42136,1,90,3,3,23,A1,pct_button,50,,,8.930258693695068,False,False,False,2.1963257789611816,5.127665996551514,9.440360069274902,2.1112799644470215
42144,1,90,4,1,21,A1,pct_button,20,,,1.378835010528565,False,False,False,5.127665996551514,3.266888380050659,2.1112799644470215,3.3437464237213135
42152,1,90,5,0,20,A1,pct_button,10,,,-3.070831308364868,False,False,False,3.266888380050659,5.006509780883789,3.3437464237213135,3.216773509979248
42160,1,90,6,6,34,C1,pct_button,5,,,1.7531355810165399,False,False,False,5.006509780883789,4.10959529876709,3.216773509979248,3.306278944015503
42168,1,90,7,10,38,C1,pct_button,30,,,-3.8774286460876457,False,False,False,4.10959529876709,4.1382927894592285,3.306278944015503,5.305736064910889
42176,1,90,8,11,39,C1,pct_button,50,,,11.119238514900209,False,False,False,4.1382927894592285,0.8677034378051758,5.305736064910889,3.0508921146392822
42184,1,90,9,3,23,A1,pct_button,50,,,-10.64124116420746,False,False,False,0.8677034378051758,5.6072916984558105,3.0508921146392822,3.7201993465423584
42192,1,90,10,11,39,C1,pct_button,50,,,4.7364477539062495,False,False,False,5.6072916984558105,4.1153693199157715,3.7201993465423584,2.9091429710388184
42200,1,90,11,11,39,C1,pct_button,50,,,-20.818725337982176,False,False,False,4.1153693199157715,-9.572132110595703,2.9091429710388184,8.032792091369629
