t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after,A2_before,A2_after,B2_before,B2_after,A3_before,A3_after,S3_before,S3_after,C3_before,C3_after
43008,3,340,-1,,,,,,,,,False,False,False,-12.641352653503418,-12.641352653503418,32.47402572631836,32.47402572631836,150.65480041503906,150.65480041503906,278.24993896484375,278.24993896484375,2459.973388671875,2459.973388671875,2188.176025390625,2188.176025390625,2837.968505859375,2837.968505859375
43008,3,340,0,1,21,A1,pct_button,20,,,39.84537128448486,False,False,False,-12.641352653503418,-13.64456558227539,32.47402572631836,11.797548294067383,150.65480041503906,150.65480041503906,278.24993896484375,278.24993896484375,2459.973388671875,2459.973388671875,2188.176025390625,2188.176025390625,2837.968505859375,2837.968505859375
43016,3,340,1,3,23,A1,pct_button,50,,,15.95487285614014,False,False,False,-13.64456558227539,-14.79332447052002,11.797548294067383,2.8427133560180664,150.65480041503906,150.65480041503906,278.24993896484375,278.24993896484375,2459.973388671875,2459.973388671875,2188.176025390625,2188.176025390625,2837.968505859375,2837.968505859375
43024,3,340,2,1,21,A1,pct_button,20,,,1.8759423470497134,False,False,False,-14.79332447052002,-14.875776290893555,2.8427133560180664,1.9859071969985962,150.65480041503906,150.65480041503906,278.24993896484375,278.24993896484375,2459.973388671875,2459.973388671875,2188.176025390625,2188.176025390625,2837.968505859375,2837.968505859375
43032,3,340,3,1,21,A1,pct_button,20,,,-0.07648215293883907,False,False,False,-14.875776290893555,-15.001076698303223,1.9859071969985962,2.0645036697387695,150.65480041503906,150.65480041503906,278.24993896484375,278.24993896484375,2459.973388671875,2459.973388671875,2188.176025390625,2188.176025390625,2837.968505859375,2837.968505859375
43040,3,340,4,2,22,A1,pct_button,30,,,0.3718840312957761,False,False,False,-15.001076698303223,-15.050684928894043,2.0645036697387695,1.9944043159484863,150.65480041503906,150.65480041503906,278.24993896484375,278.24993896484375,2459.973388671875,2459.973388671875,2188.176025390625,2188.176025390625,2837.968505859375,2837.968505859375
43048,3,340,5,1,21,A1,pct_button,20,,,0.3612491989135742,False,False,False,-15.050684928894043,-14.965176582336426,1.9944043159484863,2.0645856857299805,150.65480041503906,150.65480041503906,278.24993896484375,278.24993896484375,2459.973388671875,2459.973388671875,2188.176025390625,2188.176025390625,2837.968505859375,2837.968505859375
43056,3,340,6,6,34,C1,pct_button,5,,,1.5270158195495591,False,False,False,-14.965176582336426,-14.296123504638672,2.0645856857299805,2.1293859481811523,150.65480041503906,150.65480041503906,278.24993896484375,278.24993896484375,2459.973388671875,2459.973388671875,2188.176025390625,2188.176025390625,2837.968505859375,2837.968505859375
43064,3,340,7,2,22,A1,pct_button,30,,,0.6019369840621971,False,False,False,-14.296123504638672,-14.276764869689941,2.1293859481811523,2.0055997371673584,150.65480041503906,150.65480041503906,278.24993896484375,278.24993896484375,2459.973388671875,2459.973388671875,2188.176025390625,2188.176025390625,2837.968505859375,2837.968505859375
43072,3,340,8,2,22,A1,pct_button,30,,,0.40347852230072134,False,False,False,-14.276764869689941,-14.254766464233398,2.0055997371673584,1.983238935470581,150.65480041503906,150.65480041503906,278.24993896484375,278.24993896484375,2459.973388671875,2459.973388671875,2188.176025390625,2188.176025390625,2837.968505859375,2837.968505859375
