t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after,A2_before,A2_after,B2_before,B2_after,A3_before,A3_after,S3_before,S3_after,C3_before,C3_after
28224,2,250,-1,,,,,,,,,False,False,False,5.667918682098389,5.667918682098389,2.6459078788757324,2.6459078788757324,335.7447509765625,335.7447509765625,496.3538818359375,496.3538818359375,1627.7747802734375,1627.7747802734375,1314.5054931640625,1314.5054931640625,1224.918212890625,1224.918212890625
28224,2,250,0,1,21,A1,pct_button,20,,,5.067322005033493,False,False,False,5.667918682098389,5.169291019439697,2.6459078788757324,0.6642095446586609,335.7447509765625,335.7447509765625,496.3538818359375,496.3538818359375,1627.7747802734375,1627.7747802734375,1314.5054931640625,1314.5054931640625,1224.918212890625,1224.918212890625
28232,2,250,1,0,20,A1,pct_button,10,,,-0.22429328441619867,False,False,False,5.169291019439697,5.1460137367248535,0.6642095446586609,0.854640007019043,335.7447509765625,335.7447509765625,496.3538818359375,496.3538818359375,1627.7747802734375,1627.7747802734375,1314.5054931640625,1314.5054931640625,1224.918212890625,1224.918212890625
28240,2,250,2,5,33,C1,pct_button,1,,,0.2217163515090943,False,False,False,5.1460137367248535,5.088215351104736,0.854640007019043,0.8560225963592529,335.7447509765625,335.7447509765625,496.3538818359375,496.3538818359375,1627.7747802734375,1627.7747802734375,1314.5054931640625,1314.5054931640625,1224.918212890625,1224.918212890625
28248,2,250,3,2,22,A1,pct_button,30,,,1.079264045953751,False,False,False,5.088215351104736,5.145313739776611,0.8560225963592529,0.30883365869522095,335.7447509765625,335.7447509765625,496.3538818359375,496.3538818359375,1627.7747802734375,1627.7747802734375,1314.5054931640625,1314.5054931640625,1224.918212890625,1224.918212890625
28256,2,250,4,9,37,C1,pct_button,20,,,2.3418527209758757,False,False,False,5.145313739776611,3.7830164432525635,0.30883365869522095,0.5384189486503601,335.7447509765625,335.7447509765625,496.3538818359375,496.3538818359375,1627.7747802734375,1627.7747802734375,1314.5054931640625,1314.5054931640625,1224.918212890625,1224.918212890625
28264,2,250,5,1,21,A1,pct_button,20,,,-2.4204418849945064,False,False,False,3.7830164432525635,3.910820484161377,0.5384189486503601,1.6716606616973877,335.7447509765625,335.7447509765625,496.3538818359375,496.3538818359375,1627.7747802734375,1627.7747802734375,1314.5054931640625,1314.5054931640625,1224.918212890625,1224.918212890625
28272,2,250,6,8,36,C1,pct_button,15,,,1.0115775513648992,False,False,False,3.910820484161377,3.503119468688965,1.6716606616973877,1.6198021173477173,335.7447509765625,335.7447509765625,496.3538818359375,496.3538818359375,1627.7747802734375,1627.7747802734375,1314.5054931640625,1314.5054931640625,1224.918212890625,1224.918212890625
28280,2,250,7,3,23,A1,pct_button,50,,,3.462627690136433,False,False,False,3.503119468688965,3.2364869117736816,1.6198021173477173,0.18432898819446564,335.7447509765625,335.7447509765625,496.3538818359375,496.3538818359375,1627.7747802734375,1627.7747802734375,1314.5054931640625,1314.5054931640625,1224.918212890625,1224.918212890625
28288,2,250,8,0,20,A1,pct_button,10,,,-0.5956327140331263,False,False,False,3.2364869117736816,3.1797475814819336,0.18432898819446564,0.5713961124420166,335.7447509765625,335.7447509765625,496.3538818359375,496.3538818359375,1627.7747802734375,1627.7747802734375,1314.5054931640625,1314.5054931640625,1224.918212890625,1224.918212890625
