t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after
40896,4,90,-1,,,,,,,,,False,False,False,-18.038345336914062,-18.038345336914062,38.638118743896484,38.638118743896484
40896,4,90,0,3,23,A1,pct_button,50,,,39.24808773040771,False,False,False,-18.038345336914062,-25.7643985748291,38.638118743896484,11.657238006591797
40904,4,90,1,12,40,C1,pct_button,100,,,14.740036373138429,False,False,False,-25.7643985748291,-7.209132194519043,11.657238006591797,23.140987396240234
40912,4,90,2,9,37,C1,pct_button,20,,,3.540165281295776,False,False,False,-7.209132194519043,-6.0192084312438965,23.140987396240234,22.844465255737305
40920,4,90,3,3,23,A1,pct_button,50,,,14.004602909088133,False,False,False,-6.0192084312438965,-4.304238319396973,22.844465255737305,17.772905349731445
40928,4,90,4,3,23,A1,pct_button,50,,,18.004214706420896,False,False,False,-4.304238319396973,-6.88724946975708,17.772905349731445,6.314807415008545
40936,4,90,5,6,34,C1,pct_button,5,,,0.2540411376953118,False,False,False,-6.88724946975708,-6.88724946975708,6.314807415008545,6.314807415008545
40944,4,90,6,10,38,C1,pct_button,30,,,18.40116639614105,False,False,False,-6.88724946975708,-1.600792646408081,6.314807415008545,2.436049461364746
40952,4,90,7,7,35,C1,pct_button,10,,,0.6434138727188115,False,False,False,-1.600792646408081,-1.4695501327514648,2.436049461364746,2.2780611515045166
40960,4,90,8,6,34,C1,pct_button,5,,,0.06495222568512006,False,False,False,-1.4695501327514648,-1.4695501327514648,2.2780611515045166,2.2780611515045166
40968,4,90,9,9,37,C1,pct_button,20,,,1.0190326297283174,False,False,False,-1.4695501327514648,-3.0764760971069336,2.2780611515045166,0.18927639722824097
40976,4,90,10,3,23,A1,pct_button,50,,,-12.157050408124922,False,False,False,-3.0764760971069336,-8.549551963806152,0.18927639722824097,0.884061872959137
40984,4,90,11,8,36,C1,pct_button,15,,,3.2439488577842717,False,False,False,-8.549551963806152,-7.519035816192627,0.884061872959137,0.366458535194397
40992,4,90,12,11,39,C1,pct_button,50,,,0.14770988702774068,False,False,False,-7.519035816192627,-7.519035816192627,0.366458535194397,0.366458535194397
41000,4,90,13,8,36,C1,pct_button,15,,,2.166873421669006,False,False,False,-7.519035816192627,-5.48690938949585,0.366458535194397,1.37880539894104
41008,4,90,14,9,37,C1,pct_button,20,,,2.045407195091247,False,False,False,-5.48690938949585,-4.562975883483887,1.37880539894104,1.3340051174163818
41016,4,90,15,0,20,A1,pct_button,10,,,-8.075332670211791,False,False,False,-4.562975883483887,-6.619307518005371,1.3340051174163818,3.4106392860412598
41024,4,90,16,6,34,C1,pct_button,5,,,0.19059893608093303,False,False,False,-6.619307518005371,-6.619307518005371,3.4106392860412598,3.4106392860412598
41032,4,90,17,9,37,C1,pct_button,20,,,0.19059893608093303,False,False,False,-6.619307518005371,-6.619307518005371,3.4106392860412598,3.4106392860412598
41040,4,90,18,2,22,A1,pct_button,30,,,7.795321660041809,False,False,False,-6.619307518005371,-0.7610538005828857,3.4106392860412598,5.428123950958252
41048,4,90,19,1,21,A1,pct_button,20,,,-4.219006805419921,False,False,False,-0.7610538005828857,-2.6762490272521973,5.428123950958252,5.701206684112549
41056,4,90,20,7,35,C1,pct_button,10,,,4.242819647789002,False,False,False,-2.6762490272521973,-1.428978681564331,5.701206684112549,4.885209083557129
41064,4,90,21,8,36,C1,pct_button,15,,,-2.2111158543825145,False,False,False,-1.428978681564331,-0.29293009638786316,4.885209083557129,7.196712017059326
41072,4,90,22,6,34,C1,pct_button,5,,,-1.3394745314121244,False,False,False,-0.29293009638786316,-0.685725748538971,7.196712017059326,7.551021099090576
41080,4,90,23,11,39,C1,pct_button,50,,,9.806550555229189,False,False,False,-0.685725748538971,-2.6742734909057617,7.551021099090576,0.6878190040588379
41088,4,90,24,3,23,A1,pct_button,50,,,0.05724184989929238,False,False,False,-2.6742734909057617,-2.6742734909057617,0.6878190040588379,0.6878190040588379
41096,4,90,25,6,34,C1,pct_button,5,,,0.3743331682682036,False,False,False,-2.6742734909057617,-2.3915770053863525,0.6878190040588379,0.8103683590888977
41104,4,90,26,5,33,C1,pct_button,1,,,0.23901752710342428,False,False,False,-2.3915770053863525,-2.3299641609191895,0.8103683590888977,0.7785576581954956
41112,4,90,27,11,39,C1,pct_button,50,,,-13.946102523803711,False,False,False,-2.3299641609191895,5.372702121734619,0.7785576581954956,4.805654525756836
41120,4,90,28,2,22,A1,pct_button,30,,,-11.483149662017821,False,False,False,5.372702121734619,7.771042823791504,4.805654525756836,8.304645538330078
41128,4,90,29,7,35,C1,pct_button,10,,,0.3115137672424326,False,False,False,7.771042823791504,7.771042823791504,8.304645538330078,8.304645538330078
41136,4,90,30,1,21,A1,pct_button,20,,,10.630869936943055,False,False,False,7.771042823791504,3.256047010421753,8.304645538330078,7.607845306396484
41144,4,90,31,9,37,C1,pct_button,20,,,-4.339997911453247,False,False,False,3.256047010421753,6.022874355316162,7.607845306396484,7.137621879577637
41152,4,90,32,4,24,A1,pct_button,100,,,8.314273047447204,False,False,False,6.022874355316162,-2.6196577548980713,7.137621879577637,6.469594478607178
41160,4,90,33,1,21,A1,pct_button,20,,,6.95087102651596,False,False,False,-2.6196577548980713,-1.2758382558822632,6.469594478607178,4.3896331787109375
41168,4,90,34,7,35,C1,pct_button,10,,,-1.8153914952278127,False,False,False,-1.2758382558822632,-1.1058024168014526,4.3896331787109375,5.528709888458252
41176,4,90,35,2,22,A1,pct_button,30,,,0.28875731825828566,False,False,False,-1.1058024168014526,-0.9975361227989197,5.528709888458252,5.553103923797607
41184,4,90,36,2,22,A1,pct_button,30,,,-2.2722134375572196,False,False,False,-0.9975361227989197,1.5027450323104858,5.553103923797607,6.256595134735107
41192,4,90,37,11,39,C1,pct_button,50,,,0.18369841098785478,False,False,False,1.5027450323104858,3.9461679458618164,6.256595134735107,3.793721914291382
41200,4,90,38,9,37,C1,pct_button,20,,,8.585258355140686,False,False,False,3.9461679458618164,1.3409152030944824,3.793721914291382,2.136115789413452
41208,4,90,39,2,22,A1,pct_button,30,,,-0.48814827561378515,False,False,False,1.3409152030944824,2.822645902633667,2.136115789413452,0.9309956431388855
41216,4,90,40,5,33,C1,pct_button,1,,,0.5070114731788633,False,False,False,2.822645902633667,2.811030864715576,0.9309956431388855,0.7194093465805054
41224,4,90,41,2,22,A1,pct_button,30,,,-7.222997270822525,False,False,False,2.811030864715576,0.31851476430892944,0.7194093465805054,6.890514373779297
41232,4,90,42,1,21,A1,pct_button,20,,,-1.5548370432853693,False,False,False,0.31851476430892944,0.587063193321228,6.890514373779297,7.475005149841309
41240,4,90,43,11,39,C1,pct_button,50,,,5.061709146499634,False,False,False,0.587063193321228,-2.172088384628296,7.475005149841309,3.4099457263946533
41248,4,90,44,8,36,C1,pct_button,15,,,-3.565874466896057,False,False,False,-2.172088384628296,-3.6943390369415283,3.4099457263946533,3.7399754524230957
41256,4,90,45,5,33,C1,pct_button,1,,,0.2580238628387457,False,False,False,-3.6943390369415283,-3.7001609802246094,3.7399754524230957,3.673882007598877
41264,4,90,46,11,39,C1,pct_button,50,,,5.762546305656434,False,False,False,-3.7001609802246094,-3.357203722000122,3.673882007598877,1.1758971214294434
41272,4,90,47,11,39,C1,pct_button,50,,,-0.033799557685851626,False,False,False,-3.357203722000122,3.7579634189605713,1.1758971214294434,0.8329463005065918
41280,4,90,48,2,22,A1,pct_button,30,,,-6.098456084728241,False,False,False,3.7579634189605713,6.915170669555664,0.8329463005065918,0.797089695930481
41288,4,90,49,1,21,A1,pct_button,20,,,1.0948107051849367,False,False,False,6.915170669555664,4.913661479949951,0.797089695930481,2.3185153007507324
41296,4,90,50,2,22,A1,pct_button,30,,,11.05736126601696,False,False,False,4.913661479949951,1.3294916152954102,2.3185153007507324,0.38616105914115906
41304,4,90,51,10,38,C1,pct_button,30,,,-9.161144335269928,False,False,False,1.3294916152954102,4.17417573928833,0.38616105914115906,2.1805968284606934
41312,4,90,52,8,36,C1,pct_button,15,,,-4.373700580596923,False,False,False,4.17417573928833,4.350393295288086,2.1805968284606934,4.272458076477051
41320,4,90,53,5,33,C1,pct_button,1,,,0.20763117790222352,False,False,False,4.350393295288086,4.3231120109558105,4.272458076477051,4.276924133300781
41328,4,90,54,12,40,C1,pct_button,100,,,-24.13110514163971,False,False,False,4.3231120109558105,-2.437457799911499,4.276924133300781,18.43182373046875
41336,4,90,55,1,21,A1,pct_button,20,,,-2.9136215877532923,False,False,False,-2.437457799911499,-5.2418532371521,18.43182373046875,17.304704666137695
41344,4,90,56,3,23,A1,pct_button,50,,,0.4409311580657993,False,False,False,-5.2418532371521,-5.2418532371521,17.304704666137695,17.304704666137695
