t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after
30416,4,310,-1,,,,,,,,,False,False,False,-5.062782287597656,-5.062782287597656,44.18038558959961,44.18038558959961
30416,4,310,0,1,21,A1,pct_button,20,,,60.18050602912903,False,False,False,-5.062782287597656,-6.282189846038818,44.18038558959961,13.059138298034668
30424,4,310,1,1,21,A1,pct_button,20,,,20.07896056652069,False,False,False,-6.282189846038818,-6.590191841125488,13.059138298034668,2.8005635738372803
30432,4,310,2,6,34,C1,pct_button,5,,,1.1916460847854624,False,False,False,-6.590191841125488,-6.151615142822266,2.8005635738372803,2.727104425430298
30440,4,310,3,3,23,A1,pct_button,50,,,4.316689027100802,False,False,False,-6.151615142822266,-6.660750389099121,2.727104425430298,0.12245673686265945
30448,4,310,4,3,23,A1,pct_button,50,,,-2.1498000377416613,False,False,False,-6.660750389099121,-6.793578624725342,0.12245673686265945,1.138852834701538
30456,4,310,5,10,38,C1,pct_button,30,,,7.061676576137543,False,False,False,-6.793578624725342,-3.92842173576355,1.138852834701538,0.512581467628479
30464,4,310,6,10,38,C1,pct_button,30,,,5.226440154910088,False,False,False,-3.92842173576355,-1.4704844951629639,0.512581467628479,0.3707105815410614
30472,4,310,7,9,37,C1,pct_button,20,,,5.058508981466294,True,True,False,-1.4704844951629639,2.652761697769165,0.3707105815410614,15.02695369720459
