t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after,A2_before,A2_after,B2_before,B2_after,A3_before,A3_after,S3_before,S3_after,C3_before,C3_after
41896,1,560,-1,,,,,,,,,False,False,False,14.738666534423828,14.738666534423828,22.69276237487793,22.69276237487793,127.59622192382812,127.59622192382812,200.37831115722656,200.37831115722656,2058.779052734375,2058.779052734375,2355.529052734375,2355.529052734375,-1329.7039794921875,-1329.7039794921875
41896,1,560,0,4,24,A1,pct_button,100,,,-30.326343536376953,False,False,False,14.738666534423828,7.82750940322876,22.69276237487793,7.335662364959717,127.59622192382812,127.59622192382812,200.37831115722656,200.37831115722656,2058.779052734375,2058.779052734375,2355.529052734375,2355.529052734375,-1329.7039794921875,-1329.7039794921875
41904,1,560,1,3,23,A1,pct_button,50,,,-19.44929838180542,False,False,False,7.82750940322876,7.353322982788086,7.335662364959717,2.371326208114624,127.59622192382812,127.59622192382812,200.37831115722656,200.37831115722656,2058.779052734375,2058.779052734375,2355.529052734375,2355.529052734375,-1329.7039794921875,-1329.7039794921875
41912,1,560,2,12,40,C1,pct_button,100,,,-7.8619043827056885,False,False,False,7.353322982788086,-1.292922854423523,2.371326208114624,2.6380293369293213,127.59622192382812,127.59622192382812,200.37831115722656,200.37831115722656,2058.779052734375,2058.779052734375,2355.529052734375,2355.529052734375,-1329.7039794921875,-1329.7039794921875
41920,1,560,3,12,40,C1,pct_button,100,,,-9.128549337387085,False,False,False,-1.292922854423523,-0.607378363609314,2.6380293369293213,3.9568963050842285,127.59622192382812,127.59622192382812,200.37831115722656,200.37831115722656,2058.779052734375,2058.779052734375,2355.529052734375,2355.529052734375,-1329.7039794921875,-1329.7039794921875
41928,1,560,4,12,40,C1,pct_button,100,,,-10.253323554992676,False,False,False,-0.607378363609314,-1.3783376216888428,3.9568963050842285,3.748324155807495,127.59622192382812,127.59622192382812,200.37831115722656,200.37831115722656,2058.779052734375,2058.779052734375,2355.529052734375,2355.529052734375,-1329.7039794921875,-1329.7039794921875
41936,1,560,5,1,21,A1,pct_button,20,,,-5.078145503997803,False,False,False,-1.3783376216888428,-1.3273894786834717,3.748324155807495,1.2116832733154297,127.59622192382812,127.59622192382812,200.37831115722656,200.37831115722656,2058.779052734375,2058.779052734375,2355.529052734375,2355.529052734375,-1329.7039794921875,-1329.7039794921875
41944,1,560,6,1,21,A1,pct_button,20,,,-5.078145503997803,False,False,False,-1.3273894786834717,-1.3273894786834717,1.2116832733154297,1.2116832733154297,127.59622192382812,127.59622192382812,200.37831115722656,200.37831115722656,2058.779052734375,2058.779052734375,2355.529052734375,2355.529052734375,-1329.7039794921875,-1329.7039794921875
41952,1,560,7,3,23,A1,pct_button,50,,,-3.416725218296051,False,False,False,-1.3273894786834717,-1.3166738748550415,1.2116832733154297,0.391688734292984,127.59622192382812,127.59622192382812,200.37831115722656,200.37831115722656,2058.779052734375,2058.779052734375,2355.529052734375,2355.529052734375,-1329.7039794921875,-1329.7039794921875
41960,1,560,8,1,21,A1,pct_button,20,,,-3.416725218296051,False,False,False,-1.3166738748550415,-1.3166738748550415,0.391688734292984,0.391688734292984,127.59622192382812,127.59622192382812,200.37831115722656,200.37831115722656,2058.779052734375,2058.779052734375,2355.529052734375,2355.529052734375,-1329.7039794921875,-1329.7039794921875
41968,1,560,9,9,37,C1,pct_button,20,,,1.97136390209198,True,True,False,-1.3166738748550415,16.638357162475586,0.391688734292984,33.161766052246094,127.59622192382812,454.8449401855469,200.37831115722656,473.27105712890625,2058.779052734375,1102.0177001953125,2355.529052734375,2211.924560546875,-1329.7039794921875,816.5870361328125
