t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after
47776,2,490,-1,,,,,,,,,False,False,False,-16.26478385925293,-16.26478385925293,25.092561721801758,25.092561721801758
47776,2,490,0,0,20,A1,pct_button,10,,,32.1226188659668,False,False,False,-16.26478385925293,-17.307403564453125,25.092561721801758,8.239097595214844
47784,2,490,1,0,20,A1,pct_button,10,,,11.546843957901002,False,False,False,-17.307403564453125,-17.60369110107422,8.239097595214844,2.364065647125244
47792,2,490,2,11,39,C1,pct_button,50,,,13.238894729614257,False,False,False,-17.60369110107422,-11.292532920837402,2.364065647125244,2.1855573654174805
47800,2,490,3,11,39,C1,pct_button,50,,,8.154206519126893,False,False,False,-11.292532920837402,-6.648672580718994,2.1855573654174805,2.8422234058380127
47808,2,490,4,12,40,C1,pct_button,100,,,0.1798179197311407,False,False,False,-6.648672580718994,-6.648672580718994,2.8422234058380127,2.8422234058380127
47816,2,490,5,5,33,C1,pct_button,1,,,0.3174226665496833,False,False,False,-6.648672580718994,-6.594208717346191,2.8422234058380127,2.8271899223327637
47824,2,490,6,8,36,C1,pct_button,15,,,1.7546321344375622,False,False,False,-6.594208717346191,-5.78798246383667,2.8271899223327637,2.837353467941284
47832,2,490,7,12,40,C1,pct_button,100,,,10.910745878219606,False,False,False,-5.78798246383667,-1.4361989498138428,2.837353467941284,1.7607333660125732
47840,2,490,8,5,33,C1,pct_button,1,,,0.07090503454208343,False,False,False,-1.4361989498138428,-1.4298869371414185,1.7607333660125732,1.7584764957427979
47848,2,490,9,0,20,A1,pct_button,10,,,1.9943883526325228,False,False,False,-1.4298869371414185,-1.4368457794189453,1.7584764957427979,0.7714059948921204
47856,2,490,10,4,24,A1,pct_button,100,,,-0.4353571760654449,False,False,False,-1.4368457794189453,-2.0306296348571777,0.7714059948921204,0.41475456953048706
47864,2,490,11,3,23,A1,pct_button,50,,,0.22800256669521324,False,False,False,-2.0306296348571777,-1.9047917127609253,0.41475456953048706,0.44509002566337585
47872,2,490,12,4,24,A1,pct_button,100,,,-4.341314672827721,False,False,False,-1.9047917127609253,-4.23555326461792,0.44509002566337585,0.3255973160266876
47880,2,490,13,8,36,C1,pct_button,15,,,0.8016707313060765,False,False,False,-4.23555326461792,-3.8907315731048584,0.3255973160266876,0.3065565228462219
47888,2,490,14,6,34,C1,pct_button,5,,,0.2121223020553591,False,False,False,-3.8907315731048584,-3.78592586517334,0.3065565228462219,0.34157609939575195
47896,2,490,15,8,36,C1,pct_button,15,,,0.717119015455246,False,False,False,-3.78592586517334,-3.278660774230957,0.34157609939575195,0.5233013033866882
47904,2,490,16,9,37,C1,pct_button,20,,,1.129471960663796,False,False,False,-3.278660774230957,-2.793607234954834,0.5233013033866882,0.47126761078834534
47912,2,490,17,0,20,A1,pct_button,10,,,0.05529749691486408,False,False,False,-2.793607234954834,-2.793607234954834,0.47126761078834534,0.47126761078834534
47920,2,490,18,6,34,C1,pct_button,5,,,0.1431018781661988,False,False,False,-2.793607234954834,-2.7146780490875244,0.47126761078834534,0.505851149559021
47928,2,490,19,12,40,C1,pct_button,100,,,8.746646913290025,True,True,False,-2.7146780490875244,16.989408493041992,0.505851149559021,18.30059051513672
