t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after,A2_before,A2_after,B2_before,B2_after,A3_before,A3_after,S3_before,S3_after,C3_before,C3_after
44080,6,600,-1,,,,,,,,,False,False,False,-4.0569329261779785,-4.0569329261779785,8.329242706298828,8.329242706298828,122.18280792236328,122.18280792236328,339.307373046875,339.307373046875,1608.82421875,1608.82421875,1754.08154296875,1754.08154296875,-1268.5020751953125,-1268.5020751953125
44080,6,600,0,12,40,C1,pct_button,100,,,-20.95471453666687,False,False,False,-4.0569329261779785,-1.8483928442001343,8.329242706298828,8.6289644241333,122.18280792236328,122.18280792236328,339.307373046875,339.307373046875,1608.82421875,1608.82421875,1754.08154296875,1754.08154296875,-1268.5020751953125,-1268.5020751953125
44088,6,600,1,12,40,C1,pct_button,100,,,-18.158761203289032,False,False,False,-1.8483928442001343,0.29473933577537537,8.6289644241333,8.78464126586914,122.18280792236328,122.18280792236328,339.307373046875,339.307373046875,1608.82421875,1608.82421875,1754.08154296875,1754.08154296875,-1268.5020751953125,-1268.5020751953125
44096,6,600,2,12,40,C1,pct_button,100,,,-16.28184461593628,False,False,False,0.29473933577537537,0.8246786594390869,8.78464126586914,7.316243648529053,122.18280792236328,122.18280792236328,339.307373046875,339.307373046875,1608.82421875,1608.82421875,1754.08154296875,1754.08154296875,-1268.5020751953125,-1268.5020751953125
44104,6,600,3,12,40,C1,pct_button,100,,,-15.249950904399157,False,False,False,0.8246786594390869,0.02959800697863102,7.316243648529053,7.595377445220947,122.18280792236328,122.18280792236328,339.307373046875,339.307373046875,1608.82421875,1608.82421875,1754.08154296875,1754.08154296875,-1268.5020751953125,-1268.5020751953125
44112,6,600,4,0,20,A1,pct_button,10,,,-0.1692233681678772,True,True,False,0.02959800697863102,-1.2032766342163086,7.595377445220947,35.390777587890625,122.18280792236328,245.6326446533203,339.307373046875,427.5072021484375,1608.82421875,2558.689208984375,1754.08154296875,1590.2542724609375,-1268.5020751953125,-1591.4139404296875
