t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after
42048,7,420,-1,,,,,,,,,False,False,False,5.508510112762451,5.508510112762451,0.05408516153693199,0.05408516153693199
42048,7,420,0,11,39,C1,pct_button,50,,,2.7746361503005037,False,False,False,5.508510112762451,3.5468738079071045,0.05408516153693199,0.6655274033546448
42056,7,420,1,7,35,C1,pct_button,10,,,0.9260825777053829,False,False,False,3.5468738079071045,3.177241086959839,0.6655274033546448,0.60494065284729
42064,7,420,2,7,35,C1,pct_button,10,,,1.1941980659961702,False,False,False,3.177241086959839,2.6779844760894775,0.60494065284729,0.534220278263092
42072,7,420,3,1,21,A1,pct_button,20,,,-1.2244385957717896,False,False,False,2.6779844760894775,2.238672971725464,0.534220278263092,1.6193311214447021
42080,7,420,4,10,38,C1,pct_button,30,,,-0.1905439209938049,False,False,False,2.238672971725464,1.9354101419448853,1.6193311214447021,2.0527474880218506
42088,7,420,5,10,38,C1,pct_button,30,,,0.6446107554435734,False,False,False,1.9354101419448853,1.2279568910598755,2.0527474880218506,2.4698736667633057
42096,7,420,6,10,38,C1,pct_button,30,,,0.06395661115646402,False,False,False,1.2279568910598755,1.2279568910598755,2.4698736667633057,2.4698736667633057
42104,7,420,7,2,22,A1,pct_button,30,,,9.26395880162716,True,True,False,1.2279568910598755,5.676440238952637,2.4698736667633057,30.14516258239746
