t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after,A2_before,A2_after,B2_before,B2_after,A3_before,A3_after,S3_before,S3_after,C3_before,C3_after
7992,7,70,-1,,,,,,,,,False,False,False,-4.0066142082214355,-4.0066142082214355,49.21310806274414,49.21310806274414,314.49468994140625,314.49468994140625,433.2606506347656,433.2606506347656,1714.65673828125,1714.65673828125,1669.3714599609375,1669.3714599609375,-976.3584594726562,-976.3584594726562
7992,7,70,0,9,37,C1,pct_button,20,,,2.9325446605682455,False,False,False,-4.0066142082214355,-3.0517630577087402,49.21310806274414,49.219398498535156,314.49468994140625,314.49468994140625,433.2606506347656,433.2606506347656,1714.65673828125,1714.65673828125,1669.3714599609375,1669.3714599609375,-976.3584594726562,-976.3584594726562
8000,7,70,1,0,20,A1,pct_button,10,,,1.0354232311248859,False,False,False,-3.0517630577087402,-3.0517630577087402,49.219398498535156,49.219398498535156,314.49468994140625,314.49468994140625,433.2606506347656,433.2606506347656,1714.65673828125,1714.65673828125,1669.3714599609375,1669.3714599609375,-976.3584594726562,-976.3584594726562
8008,7,70,2,10,38,C1,pct_button,30,,,3.492200903892515,False,False,False,-3.0517630577087402,-2.0162770748138428,49.219398498535156,49.01408767700195,314.49468994140625,314.49468994140625,433.2606506347656,433.2606506347656,1714.65673828125,1714.65673828125,1669.3714599609375,1669.3714599609375,-976.3584594726562,-976.3584594726562
8016,7,70,3,2,22,A1,pct_button,30,,,58.528810348510746,False,False,False,-2.0162770748138428,-5.313326835632324,49.01408767700195,16.66744041442871,314.49468994140625,314.49468994140625,433.2606506347656,433.2606506347656,1714.65673828125,1714.65673828125,1669.3714599609375,1669.3714599609375,-976.3584594726562,-976.3584594726562
8024,7,70,4,1,21,A1,pct_button,20,,,20.289945735931394,False,False,False,-5.313326835632324,-6.1888298988342285,16.66744041442871,5.761467456817627,314.49468994140625,314.49468994140625,433.2606506347656,433.2606506347656,1714.65673828125,1714.65673828125,1669.3714599609375,1669.3714599609375,-976.3584594726562,-976.3584594726562
8032,7,70,5,7,35,C1,pct_button,10,,,1.596693077087403,False,False,False,-6.1888298988342285,-5.531294822692871,5.761467456817627,5.7282514572143555,314.49468994140625,314.49468994140625,433.2606506347656,433.2606506347656,1714.65673828125,1714.65673828125,1669.3714599609375,1669.3714599609375,-976.3584594726562,-976.3584594726562
8040,7,70,6,4,24,A1,pct_button,100,,,8.96673705060035,False,False,False,-5.531294822692871,-6.830358028411865,5.7282514572143555,0.0092154610902071,314.49468994140625,314.49468994140625,433.2606506347656,433.2606506347656,1714.65673828125,1714.65673828125,1669.3714599609375,1669.3714599609375,-976.3584594726562,-976.3584594726562
8048,7,70,7,11,39,C1,pct_button,50,,,6.773371021896601,False,False,False,-6.830358028411865,-2.776038885116577,0.0092154610902071,0.7066762447357178,314.49468994140625,314.49468994140625,433.2606506347656,433.2606506347656,1714.65673828125,1714.65673828125,1669.3714599609375,1669.3714599609375,-976.3584594726562,-976.3584594726562
8056,7,70,8,10,38,C1,pct_button,30,,,0.4320962762832641,False,False,False,-2.776038885116577,-2.3222286701202393,0.7066762447357178,0.9723844528198242,314.49468994140625,314.49468994140625,433.2606506347656,433.2606506347656,1714.65673828125,1714.65673828125,1669.3714599609375,1669.3714599609375,-976.3584594726562,-976.3584594726562
8064,7,70,9,11,39,C1,pct_button,50,,,0.0558922624588012,False,False,False,-2.3222286701202393,-2.3222286701202393,0.9723844528198242,0.9723844528198242,314.49468994140625,314.49468994140625,433.2606506347656,433.2606506347656,1714.65673828125,1714.65673828125,1669.3714599609375,1669.3714599609375,-976.3584594726562,-976.3584594726562
8072,7,70,10,2,22,A1,pct_button,30,,,-1.1000089955329895,False,False,False,-2.3222286701202393,-2.2622509002685547,0.9723844528198242,1.6161507368087769,314.49468994140625,314.49468994140625,433.2606506347656,433.2606506347656,1714.65673828125,1714.65673828125,1669.3714599609375,1669.3714599609375,-976.3584594726562,-976.3584594726562
8080,7,70,11,10,38,C1,pct_button,30,,,1.4915186810493466,False,False,False,-2.2622509002685547,-1.5526574850082397,1.6161507368087769,1.6065771579742432,314.49468994140625,314.49468994140625,433.2606506347656,433.2606506347656,1714.65673828125,1714.65673828125,1669.3714599609375,1669.3714599609375,-976.3584594726562,-976.3584594726562
8088,7,70,12,0,20,A1,pct_button,10,,,2.207579648494721,False,False,False,-1.5526574850082397,-1.5799099206924438,1.6065771579742432,0.49124646186828613,314.49468994140625,314.49468994140625,433.2606506347656,433.2606506347656,1714.65673828125,1714.65673828125,1669.3714599609375,1669.3714599609375,-976.3584594726562,-976.3584594726562
8096,7,70,13,11,39,C1,pct_button,50,,,-0.34912131667137136,False,False,False,-1.5799099206924438,-1.4807029962539673,0.49124646186828613,0.7826475501060486,314.49468994140625,314.49468994140625,433.2606506347656,433.2606506347656,1714.65673828125,1714.65673828125,1669.3714599609375,1669.3714599609375,-976.3584594726562,-976.3584594726562
8104,7,70,14,12,40,C1,pct_button,100,,,6.577836230495013,True,True,False,-1.4807029962539673,-14.256179809570312,0.7826475501060486,15.817610740661621,314.49468994140625,164.065673828125,433.2606506347656,253.06390380859375,1714.65673828125,2242.72412109375,1669.3714599609375,1651.896728515625,-976.3584594726562,1827.7584228515625
