t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after,A2_before,A2_after,B2_before,B2_after,A3_before,A3_after,S3_before,S3_after,C3_before,C3_after
47824,6,660,-1,,,,,,,,,False,False,False,14.969148635864258,14.969148635864258,46.738365173339844,46.738365173339844,187.00942993164062,187.00942993164062,244.53253173828125,244.53253173828125,1884.618896484375,1884.618896484375,2784.699951171875,2784.699951171875,989.8389282226562,989.8389282226562
47824,6,660,0,10,38,C1,pct_button,30,,,-117.7673454284668,False,False,False,14.969148635864258,12.234601974487305,46.738365173339844,46.649070739746094,187.00942993164062,187.00942993164062,244.53253173828125,244.53253173828125,1884.618896484375,1884.618896484375,2784.699951171875,2784.699951171875,989.8389282226562,989.8389282226562
47832,6,660,1,12,40,C1,pct_button,100,,,-105.4458236694336,False,False,False,12.234601974487305,5.472736358642578,46.649070739746094,47.25017547607422,187.00942993164062,187.00942993164062,244.53253173828125,244.53253173828125,1884.618896484375,1884.618896484375,2784.699951171875,2784.699951171875,989.8389282226562,989.8389282226562
47840,6,660,2,1,21,A1,pct_button,20,,,-37.48823595046997,False,False,False,5.472736358642578,3.4700262546539307,47.25017547607422,15.274091720581055,187.00942993164062,187.00942993164062,244.53253173828125,244.53253173828125,1884.618896484375,1884.618896484375,2784.699951171875,2784.699951171875,989.8389282226562,989.8389282226562
47848,6,660,3,2,22,A1,pct_button,30,,,-14.119458198547363,False,False,False,3.4700262546539307,2.1222262382507324,15.274091720581055,4.937502861022949,187.00942993164062,187.00942993164062,244.53253173828125,244.53253173828125,1884.618896484375,1884.618896484375,2784.699951171875,2784.699951171875,989.8389282226562,989.8389282226562
47856,6,660,4,0,20,A1,pct_button,10,,,-14.119458198547363,False,False,False,2.1222262382507324,2.1222262382507324,4.937502861022949,4.937502861022949,187.00942993164062,187.00942993164062,244.53253173828125,244.53253173828125,1884.618896484375,1884.618896484375,2784.699951171875,2784.699951171875,989.8389282226562,989.8389282226562
47864,6,660,5,4,24,A1,pct_button,100,,,0.7410696744918823,True,True,False,2.1222262382507324,3.8774099349975586,4.937502861022949,47.92382049560547,187.00942993164062,442.0106201171875,244.53253173828125,225.81787109375,1884.618896484375,1627.29443359375,2784.699951171875,1550.7227783203125,989.8389282226562,-1247.543212890625
