t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after,A2_before,A2_after,B2_before,B2_after,A3_before,A3_after,S3_before,S3_after,C3_before,C3_after
23768,1,290,-1,,,,,,,,,False,False,False,12.517167091369629,12.517167091369629,8.339492797851562,8.339492797851562,221.875732421875,221.875732421875,229.20797729492188,229.20797729492188,2634.501953125,2634.501953125,2980.118896484375,2980.118896484375,-1379.665283203125,-1379.665283203125
23768,1,290,0,12,40,C1,pct_button,100,,,-26.094928741455078,False,False,False,12.517167091369629,-4.676674842834473,8.339492797851562,8.370789527893066,221.875732421875,221.875732421875,229.20797729492188,229.20797729492188,2634.501953125,2634.501953125,2980.118896484375,2980.118896484375,-1379.665283203125,-1379.665283203125
23776,1,290,1,3,23,A1,pct_button,50,,,-17.5948748588562,False,False,False,-4.676674842834473,-6.091495990753174,8.370789527893066,2.7059414386749268,221.875732421875,221.875732421875,229.20797729492188,229.20797729492188,2634.501953125,2634.501953125,2980.118896484375,2980.118896484375,-1379.665283203125,-1379.665283203125
23784,1,290,2,0,20,A1,pct_button,10,,,-14.726104974746704,False,False,False,-6.091495990753174,-6.488329887390137,2.7059414386749268,0.8747225999832153,221.875732421875,221.875732421875,229.20797729492188,229.20797729492188,2634.501953125,2634.501953125,2980.118896484375,2980.118896484375,-1379.665283203125,-1379.665283203125
23792,1,290,3,3,23,A1,pct_button,50,,,-13.576329827308655,False,False,False,-6.488329887390137,-6.505402088165283,0.8747225999832153,0.2827628254890442,221.875732421875,221.875732421875,229.20797729492188,229.20797729492188,2634.501953125,2634.501953125,2980.118896484375,2980.118896484375,-1379.665283203125,-1379.665283203125
23800,1,290,4,12,40,C1,pct_button,100,,,-5.216394543647766,False,False,False,-6.505402088165283,2.203237771987915,0.2827628254890442,0.404959499835968,221.875732421875,221.875732421875,229.20797729492188,229.20797729492188,2634.501953125,2634.501953125,2980.118896484375,2980.118896484375,-1379.665283203125,-1379.665283203125
23808,1,290,5,0,20,A1,pct_button,10,,,-4.822708427906036,False,False,False,2.203237771987915,2.280447006225586,0.404959499835968,0.13090720772743225,221.875732421875,221.875732421875,229.20797729492188,229.20797729492188,2634.501953125,2634.501953125,2980.118896484375,2980.118896484375,-1379.665283203125,-1379.665283203125
23816,1,290,6,1,21,A1,pct_button,20,,,-4.55585653334856,False,False,False,2.280447006225586,2.2356112003326416,0.13090720772743225,0.042317066341638565,221.875732421875,221.875732421875,229.20797729492188,229.20797729492188,2634.501953125,2634.501953125,2980.118896484375,2980.118896484375,-1379.665283203125,-1379.665283203125
23824,1,290,7,10,38,C1,pct_button,30,,,-4.55585653334856,False,False,False,2.2356112003326416,2.2356112003326416,0.042317066341638565,0.042317066341638565,221.875732421875,221.875732421875,229.20797729492188,229.20797729492188,2634.501953125,2634.501953125,2980.118896484375,2980.118896484375,-1379.665283203125,-1379.665283203125
23832,1,290,8,1,21,A1,pct_button,20,,,-4.215917883440852,False,False,False,2.2356112003326416,2.0942795276641846,0.042317066341638565,0.013679414056241512,221.875732421875,221.875732421875,229.20797729492188,229.20797729492188,2634.501953125,2634.501953125,2980.118896484375,2980.118896484375,-1379.665283203125,-1379.665283203125
23840,1,290,9,2,22,A1,pct_button,30,,,-5.000167486257851,False,False,False,2.0942795276641846,2.495661735534668,0.013679414056241512,0.004422007594257593,221.875732421875,221.875732421875,229.20797729492188,229.20797729492188,2634.501953125,2634.501953125,2980.118896484375,2980.118896484375,-1379.665283203125,-1379.665283203125
23848,1,290,10,2,22,A1,pct_button,30,,,-5.9977543745189905,False,False,False,2.495661735534668,2.9974477291107178,0.004422007594257593,0.001429458148777485,221.875732421875,221.875732421875,229.20797729492188,229.20797729492188,2634.501953125,2634.501953125,2980.118896484375,2980.118896484375,-1379.665283203125,-1379.665283203125
23856,1,290,11,12,40,C1,pct_button,100,,,-6.642182350158691,False,False,False,2.9974477291107178,1.2876160144805908,0.001429458148777485,2.033475160598755,221.875732421875,221.875732421875,229.20797729492188,229.20797729492188,2634.501953125,2634.501953125,2980.118896484375,2980.118896484375,-1379.665283203125,-1379.665283203125
23864,1,290,12,12,40,C1,pct_button,100,,,-7.315877318382263,False,False,False,1.2876160144805908,-0.8064624667167664,2.033475160598755,2.8514761924743652,221.875732421875,221.875732421875,229.20797729492188,229.20797729492188,2634.501953125,2634.501953125,2980.118896484375,2980.118896484375,-1379.665283203125,-1379.665283203125
23872,1,290,13,12,40,C1,pct_button,100,,,-0.35070013999938965,True,True,False,-0.8064624667167664,3.4607880115509033,2.8514761924743652,17.328571319580078,221.875732421875,249.60836791992188,229.20797729492188,277.19061279296875,2634.501953125,1611.5538330078125,2980.118896484375,1477.3206787109375,-1379.665283203125,871.0352172851562
