t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after,A2_before,A2_after,B2_before,B2_after,A3_before,A3_after,S3_before,S3_after,C3_before,C3_after
43064,2,580,-1,,,,,,,,,False,False,False,3.3853626251220703,3.3853626251220703,38.37705993652344,38.37705993652344,242.86456298828125,242.86456298828125,237.90577697753906,237.90577697753906,2911.79052734375,2911.79052734375,1685.3319091796875,1685.3319091796875,1384.2835693359375,1384.2835693359375
43064,2,580,0,0,20,A1,pct_button,10,,,-28.967339992523193,False,False,False,3.3853626251220703,2.077901601791382,38.37705993652344,12.405768394470215,242.86456298828125,242.86456298828125,237.90577697753906,237.90577697753906,2911.79052734375,2911.79052734375,1685.3319091796875,1685.3319091796875,1384.2835693359375,1384.2835693359375
43072,2,580,1,0,20,A1,pct_button,10,,,-11.36669111251831,False,False,False,2.077901601791382,1.6730568408966064,12.405768394470215,4.010288715362549,242.86456298828125,242.86456298828125,237.90577697753906,237.90577697753906,2911.79052734375,2911.79052734375,1685.3319091796875,1685.3319091796875,1384.2835693359375,1384.2835693359375
43080,2,580,2,2,22,A1,pct_button,30,,,-11.36669111251831,False,False,False,1.6730568408966064,1.6730568408966064,4.010288715362549,4.010288715362549,242.86456298828125,242.86456298828125,237.90577697753906,237.90577697753906,2911.79052734375,2911.79052734375,1685.3319091796875,1685.3319091796875,1384.2835693359375,1384.2835693359375
43088,2,580,3,0,20,A1,pct_button,10,,,-5.81200647354126,False,False,False,1.6730568408966064,1.6096372604370117,4.010288715362549,1.2963659763336182,242.86456298828125,242.86456298828125,237.90577697753906,237.90577697753906,2911.79052734375,2911.79052734375,1685.3319091796875,1685.3319091796875,1384.2835693359375,1384.2835693359375
43096,2,580,4,1,21,A1,pct_button,20,,,-5.81200647354126,False,False,False,1.6096372604370117,1.6096372604370117,1.2963659763336182,1.2963659763336182,242.86456298828125,242.86456298828125,237.90577697753906,237.90577697753906,2911.79052734375,2911.79052734375,1685.3319091796875,1685.3319091796875,1384.2835693359375,1384.2835693359375
43104,2,580,5,0,20,A1,pct_button,10,,,-3.8514702916145325,False,False,False,1.6096372604370117,1.5066719055175781,1.2963659763336182,0.4190632402896881,242.86456298828125,242.86456298828125,237.90577697753906,237.90577697753906,2911.79052734375,2911.79052734375,1685.3319091796875,1685.3319091796875,1384.2835693359375,1384.2835693359375
43112,2,580,6,0,20,A1,pct_button,10,,,-2.9758542478084564,False,False,False,1.5066719055175781,1.3524607419967651,0.4190632402896881,0.13546638190746307,242.86456298828125,242.86456298828125,237.90577697753906,237.90577697753906,2911.79052734375,2911.79052734375,1685.3319091796875,1685.3319091796875,1384.2835693359375,1384.2835693359375
43120,2,580,7,3,23,A1,pct_button,50,,,3.2768191397190094,True,True,False,1.3524607419967651,12.207011222839355,0.13546638190746307,31.219388961791992,242.86456298828125,331.5332946777344,237.90577697753906,353.57135009765625,2911.79052734375,1596.8507080078125,1685.3319091796875,1717.426025390625,1384.2835693359375,2899.858642578125
