t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after
19896,1,150,-1,,,,,,,,,False,False,False,-13.677967071533203,-13.677967071533203,27.018356323242188,27.018356323242188
19896,1,150,0,9,37,C1,pct_button,20,,,7.330268001556396,False,False,False,-13.677967071533203,-10.125456809997559,27.018356323242188,27.274734497070312
19904,1,150,1,2,22,A1,pct_button,30,,,19.649825286865234,False,False,False,-10.125456809997559,-12.824699401855469,27.274734497070312,15.024066925048828
19912,1,150,2,9,37,C1,pct_button,20,,,6.7513999366760284,False,False,False,-12.824699401855469,-9.632671356201172,15.024066925048828,15.082547187805176
19920,1,150,3,6,34,C1,pct_button,5,,,1.5292663955688448,False,False,False,-9.632671356201172,-9.090142250061035,15.082547187805176,15.097317695617676
19928,1,150,4,6,34,C1,pct_button,5,,,1.4560507011413557,False,False,False,-9.090142250061035,-8.511319160461426,15.097317695617676,15.180028915405273
19936,1,150,5,4,24,A1,pct_button,100,,,9.046737108230593,False,False,False,-8.511319160461426,-14.949361801147461,15.180028915405273,4.4071831703186035
19944,1,150,6,9,37,C1,pct_button,20,,,8.474354963302615,False,False,False,-14.949361801147461,-10.953082084655762,4.4071831703186035,4.313955783843994
19952,1,150,7,3,23,A1,pct_button,50,,,0.2953407573699971,False,False,False,-10.953082084655762,-10.953082084655762,4.313955783843994,4.313955783843994
19960,1,150,8,7,35,C1,pct_button,10,,,2.830831651687623,False,False,False,-10.953082084655762,-9.690117835998535,4.313955783843994,4.2963690757751465
19968,1,150,9,4,24,A1,pct_button,100,,,4.090415630340578,False,False,False,-9.690117835998535,-9.852934837341309,4.2963690757751465,2.2039127349853516
19976,1,150,10,3,23,A1,pct_button,50,,,2.1798330080509185,False,False,False,-9.852934837341309,-10.144246101379395,2.2039127349853516,0.9284115433692932
19984,1,150,11,9,37,C1,pct_button,20,,,4.7285001039505,False,False,False,-10.144246101379395,-7.7494659423828125,0.9284115433692932,1.0418548583984375
19992,1,150,12,8,36,C1,pct_button,15,,,3.152003741264343,False,False,False,-7.7494659423828125,-6.267094612121582,1.0418548583984375,1.0160558223724365
20000,1,150,13,11,39,C1,pct_button,50,,,7.309050345420838,False,False,False,-6.267094612121582,-2.4595699310302734,1.0160558223724365,1.200657606124878
20008,1,150,14,9,37,C1,pct_button,20,,,1.5717706966400147,False,False,False,-2.4595699310302734,-1.7340099811553955,1.200657606124878,1.1643154621124268
20016,1,150,15,12,40,C1,pct_button,100,,,8.393141052722932,True,True,False,-1.7340099811553955,5.537924766540527,1.1643154621124268,6.872080326080322
