t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after
50368,1,490,-1,,,,,,,,,False,False,False,-4.156988143920898,-4.156988143920898,24.83579444885254,24.83579444885254
50368,1,490,0,1,21,A1,pct_button,20,,,31.156730337142942,False,False,False,-4.156988143920898,-6.246862411499023,24.83579444885254,7.298003673553467
50376,1,490,1,0,20,A1,pct_button,10,,,9.17070991039276,False,False,False,-6.246862411499023,-6.360621452331543,7.298003673553467,2.6843392848968506
50384,1,490,2,9,37,C1,pct_button,20,,,1.977604651451111,False,False,False,-6.360621452331543,-5.279792785644531,2.6843392848968506,2.8526904582977295
50392,1,490,3,6,34,C1,pct_button,5,,,0.3783528327941903,False,False,False,-5.279792785644531,-5.102162837982178,2.8526904582977295,2.9163289070129395
50400,1,490,4,11,39,C1,pct_button,50,,,4.9334651947021495,False,False,False,-5.102162837982178,-3.2260732650756836,2.9163289070129395,2.376713752746582
50408,1,490,5,3,23,A1,pct_button,50,,,0.10205574035644617,False,False,False,-3.2260732650756836,-3.2260732650756836,2.376713752746582,2.376713752746582
50416,1,490,6,10,38,C1,pct_button,30,,,2.3959866762161255,False,False,False,-3.2260732650756836,-2.1653847694396973,2.376713752746582,2.278851270675659
50424,1,490,7,7,35,C1,pct_button,10,,,0.32546206235885555,False,False,False,-2.1653847694396973,-1.9746781587600708,2.278851270675659,2.3450238704681396
50432,1,490,8,9,37,C1,pct_button,20,,,0.8220160675048829,False,False,False,-1.9746781587600708,-1.3522307872772217,2.3450238704681396,2.5908944606781006
50440,1,490,9,3,23,A1,pct_button,50,,,-0.06544271707534775,False,False,False,-1.3522307872772217,-1.489456057548523,2.5908944606781006,2.5215001106262207
50448,1,490,10,0,20,A1,pct_button,10,,,4.038343781232834,False,False,False,-1.489456057548523,-1.6683626174926758,2.5215001106262207,0.33849018812179565
50456,1,490,11,11,39,C1,pct_button,50,,,8.060483615398407,True,True,False,-1.6683626174926758,0.7703544497489929,0.33849018812179565,39.46565246582031
