t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after,A2_before,A2_after,B2_before,B2_after,A3_before,A3_after,S3_before,S3_after,C3_before,C3_after
49400,2,360,-1,,,,,,,,,False,False,False,-13.602008819580078,-13.602008819580078,1.5530610084533691,1.5530610084533691,227.91123962402344,227.91123962402344,246.48419189453125,246.48419189453125,2220.55224609375,2220.55224609375,1576.7401123046875,1576.7401123046875,-1866.6002197265625,-1866.6002197265625
49400,2,360,0,0,20,A1,pct_button,10,,,2.461567896604537,False,False,False,-13.602008819580078,-13.557842254638672,1.5530610084533691,0.5020424723625183,227.91123962402344,227.91123962402344,246.48419189453125,246.48419189453125,2220.55224609375,2220.55224609375,1576.7401123046875,1576.7401123046875,-1866.6002197265625,-1866.6002197265625
49408,2,360,1,0,20,A1,pct_button,10,,,0.9002728125453012,False,False,False,-13.557842254638672,-13.579879760742188,0.5020424723625183,0.16229026019573212,227.91123962402344,227.91123962402344,246.48419189453125,246.48419189453125,2220.55224609375,2220.55224609375,1576.7401123046875,1576.7401123046875,-1866.6002197265625,-1866.6002197265625
49416,2,360,2,0,20,A1,pct_button,10,,,0.3702588757127516,False,False,False,-13.579879760742188,-13.636467933654785,0.16229026019573212,0.05246194824576378,227.91123962402344,227.91123962402344,246.48419189453125,246.48419189453125,2220.55224609375,2220.55224609375,1576.7401123046875,1576.7401123046875,-1866.6002197265625,-1866.6002197265625
49424,2,360,3,0,20,A1,pct_button,10,,,0.48212116945534844,False,False,False,-13.636467933654785,-13.561697006225586,0.05246194824576378,0.016958849504590034,227.91123962402344,227.91123962402344,246.48419189453125,246.48419189453125,2220.55224609375,2220.55224609375,1576.7401123046875,1576.7401123046875,-1866.6002197265625,-1866.6002197265625
49432,2,360,4,0,20,A1,pct_button,10,,,0.14227043105289439,False,False,False,-13.561697006225586,-13.633427619934082,0.016958849504590034,0.005482117645442486,227.91123962402344,227.91123962402344,246.48419189453125,246.48419189453125,2220.55224609375,2220.55224609375,1576.7401123046875,1576.7401123046875,-1866.6002197265625,-1866.6002197265625
49440,2,360,5,0,20,A1,pct_button,10,,,0.1289470406505282,False,False,False,-13.633427619934082,-13.704729080200195,0.005482117645442486,0.0017721493495628238,227.91123962402344,227.91123962402344,246.48419189453125,246.48419189453125,2220.55224609375,2220.55224609375,1576.7401123046875,1576.7401123046875,-1866.6002197265625,-1866.6002197265625
49448,2,360,6,0,20,A1,pct_button,10,,,0.16029290713602662,False,False,False,-13.704729080200195,-13.758371353149414,0.0017721493495628238,0.0005728650139644742,227.91123962402344,227.91123962402344,246.48419189453125,246.48419189453125,2220.55224609375,2220.55224609375,1576.7401123046875,1576.7401123046875,-1866.6002197265625,-1866.6002197265625
49456,2,360,7,10,38,C1,pct_button,30,,,6.8616559710819285,False,False,False,-13.758371353149414,-10.419548988342285,0.0005728650139644742,0.007841145619750023,227.91123962402344,227.91123962402344,246.48419189453125,246.48419189453125,2220.55224609375,2220.55224609375,1576.7401123046875,1576.7401123046875,-1866.6002197265625,-1866.6002197265625
49464,2,360,8,10,38,C1,pct_button,30,,,0.19854780267924155,False,False,False,-10.419548988342285,-10.419548988342285,0.007841145619750023,0.007841145619750023,227.91123962402344,227.91123962402344,246.48419189453125,246.48419189453125,2220.55224609375,2220.55224609375,1576.7401123046875,1576.7401123046875,-1866.6002197265625,-1866.6002197265625
