t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after,A2_before,A2_after,B2_before,B2_after,A3_before,A3_after,S3_before,S3_after,C3_before,C3_after
16088,4,180,-1,,,,,,,,,False,False,False,8.027789115905762,8.027789115905762,49.112693786621094,49.112693786621094,311.72259521484375,311.72259521484375,301.49700927734375,301.49700927734375,1813.3389892578125,1813.3389892578125,1883.8385009765625,1883.8385009765625,-1041.2135009765625,-1041.2135009765625
16088,4,180,0,3,23,A1,pct_button,50,,,-42.69992637634277,False,False,False,8.027789115905762,5.473793983459473,49.112693786621094,15.876169204711914,311.72259521484375,311.72259521484375,301.49700927734375,301.49700927734375,1813.3389892578125,1813.3389892578125,1883.8385009765625,1883.8385009765625,-1041.2135009765625,-1041.2135009765625
16096,4,180,1,11,39,C1,pct_button,50,,,-37.91781663894653,False,False,False,5.473793983459473,3.1991970539093018,15.876169204711914,15.759711265563965,311.72259521484375,311.72259521484375,301.49700927734375,301.49700927734375,1813.3389892578125,1813.3389892578125,1883.8385009765625,1883.8385009765625,-1041.2135009765625,-1041.2135009765625
16104,4,180,2,1,21,A1,pct_button,20,,,-15.532966136932373,False,False,False,3.1991970539093018,2.6719987392425537,15.759711265563965,5.094484329223633,311.72259521484375,311.72259521484375,301.49700927734375,301.49700927734375,1813.3389892578125,1813.3389892578125,1883.8385009765625,1883.8385009765625,-1041.2135009765625,-1041.2135009765625
16112,4,180,3,12,40,C1,pct_button,100,,,-9.058356016874313,False,False,False,2.6719987392425537,0.10921035706996918,5.094484329223633,4.4199676513671875,311.72259521484375,311.72259521484375,301.49700927734375,301.49700927734375,1813.3389892578125,1813.3389892578125,1883.8385009765625,1883.8385009765625,-1041.2135009765625,-1041.2135009765625
16120,4,180,4,4,24,A1,pct_button,100,,,-5.942353010177612,False,False,False,0.10921035706996918,-1.5423777103424072,4.4199676513671875,1.428798794746399,311.72259521484375,311.72259521484375,301.49700927734375,301.49700927734375,1813.3389892578125,1813.3389892578125,1883.8385009765625,1883.8385009765625,-1041.2135009765625,-1041.2135009765625
16128,4,180,5,12,40,C1,pct_button,100,,,2.4702910780906677,True,True,False,-1.5423777103424072,-2.113770008087158,1.428798794746399,14.04305362701416,311.72259521484375,191.9192657470703,301.49700927734375,461.61456298828125,1813.3389892578125,2044.7392578125,1883.8385009765625,1745.29248046875,-1041.2135009765625,1012.6013793945312
