t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after,A2_before,A2_after,B2_before,B2_after,A3_before,A3_after,S3_before,S3_after,C3_before,C3_after
10408,0,90,-1,,,,,,,,,False,False,False,12.712635040283203,12.712635040283203,35.96542739868164,35.96542739868164,379.4673767089844,379.4673767089844,333.2124328613281,333.2124328613281,2802.89990234375,2802.89990234375,1871.613525390625,1871.613525390625,-1574.518310546875,-1574.518310546875
10408,0,90,0,1,21,A1,pct_button,20,,,52.338744983673095,False,False,False,12.712635040283203,11.282633781433105,35.96542739868164,11.448366165161133,379.4673767089844,379.4673767089844,333.2124328613281,333.2124328613281,2802.89990234375,2802.89990234375,1871.613525390625,1871.613525390625,-1574.518310546875,-1574.518310546875
10416,0,90,1,12,40,C1,pct_button,100,,,16.66313985824585,False,False,False,11.282633781433105,2.7897233963012695,11.448366165161133,11.750104904174805,379.4673767089844,379.4673767089844,333.2124328613281,333.2124328613281,2802.89990234375,2802.89990234375,1871.613525390625,1871.613525390625,-1574.518310546875,-1574.518310546875
10424,0,90,2,9,37,C1,pct_button,20,,,1.729478425979616,False,False,False,2.7897233963012695,2.151003360748291,11.750104904174805,11.657167434692383,379.4673767089844,379.4673767089844,333.2124328613281,333.2124328613281,2802.89990234375,2802.89990234375,1871.613525390625,1871.613525390625,-1574.518310546875,-1574.518310546875
10432,0,90,3,11,39,C1,pct_button,50,,,2.972023286223413,False,False,False,2.151003360748291,0.44848427176475525,11.657167434692383,11.993090629577637,379.4673767089844,379.4673767089844,333.2124328613281,333.2124328613281,2802.89990234375,2802.89990234375,1871.613525390625,1871.613525390625,-1574.518310546875,-1574.518310546875
10440,0,90,4,6,34,C1,pct_button,5,,,0.12851757884025772,False,False,False,0.44848427176475525,0.5079653859138489,11.993090629577637,11.989323616027832,379.4673767089844,379.4673767089844,333.2124328613281,333.2124328613281,2802.89990234375,2802.89990234375,1871.613525390625,1871.613525390625,-1574.518310546875,-1574.518310546875
10448,0,90,5,12,40,C1,pct_button,100,,,-0.9197609424591049,False,False,False,0.5079653859138489,-0.615149736404419,11.989323616027832,12.467849731445312,379.4673767089844,379.4673767089844,333.2124328613281,333.2124328613281,2802.89990234375,2802.89990234375,1871.613525390625,1871.613525390625,-1574.518310546875,-1574.518310546875
10456,0,90,6,3,23,A1,pct_button,50,,,14.923687224388123,False,False,False,-0.615149736404419,-2.162588596343994,12.467849731445312,3.510296106338501,379.4673767089844,379.4673767089844,333.2124328613281,333.2124328613281,2802.89990234375,2802.89990234375,1871.613525390625,1871.613525390625,-1574.518310546875,-1574.518310546875
10464,0,90,7,2,22,A1,pct_button,30,,,4.94693855881691,False,False,False,-2.162588596343994,-2.4946672916412354,3.510296106338501,0.7320149540901184,379.4673767089844,379.4673767089844,333.2124328613281,333.2124328613281,2802.89990234375,2802.89990234375,1871.613525390625,1871.613525390625,-1574.518310546875,-1574.518310546875
10472,0,90,8,3,23,A1,pct_button,50,,,0.19670977309346216,False,False,False,-2.4946672916412354,-3.0407001972198486,0.7320149540901184,0.11417592316865921,379.4673767089844,379.4673767089844,333.2124328613281,333.2124328613281,2802.89990234375,2802.89990234375,1871.613525390625,1871.613525390625,-1574.518310546875,-1574.518310546875
