t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after,A2_before,A2_after,B2_before,B2_after,A3_before,A3_after,S3_before,S3_after,C3_before,C3_after
43632,0,580,-1,,,,,,,,,False,False,False,0.20732605457305908,0.20732605457305908,31.64849853515625,31.64849853515625,414.673583984375,414.673583984375,389.9839172363281,389.9839172363281,2229.713134765625,2229.713134765625,1369.517578125,1369.517578125,-1470.041259765625,-1470.041259765625
43632,0,580,0,1,21,A1,pct_button,20,,,-23.939419507980347,False,False,False,0.20732605457305908,-1.7390159368515015,31.64849853515625,10.230693817138672,414.673583984375,414.673583984375,389.9839172363281,389.9839172363281,2229.713134765625,2229.713134765625,1369.517578125,1369.517578125,-1470.041259765625,-1470.041259765625
43640,0,580,1,2,22,A1,pct_button,30,,,-23.939419507980347,False,False,False,-1.7390159368515015,-1.7390159368515015,10.230693817138672,10.230693817138672,414.673583984375,414.673583984375,389.9839172363281,389.9839172363281,2229.713134765625,2229.713134765625,1369.517578125,1369.517578125,-1470.041259765625,-1470.041259765625
43648,0,580,2,1,21,A1,pct_button,20,,,-10.721813678741455,False,False,False,-1.7390159368515015,-2.0537328720092773,10.230693817138672,3.30717396736145,414.673583984375,414.673583984375,389.9839172363281,389.9839172363281,2229.713134765625,2229.713134765625,1369.517578125,1369.517578125,-1470.041259765625,-1470.041259765625
43656,0,580,3,0,20,A1,pct_button,10,,,-6.4175496101379395,False,False,False,-2.0537328720092773,-2.139697790145874,3.30717396736145,1.0690770149230957,414.673583984375,414.673583984375,389.9839172363281,389.9839172363281,2229.713134765625,2229.713134765625,1369.517578125,1369.517578125,-1470.041259765625,-1470.041259765625
43664,0,580,4,0,20,A1,pct_button,10,,,-6.4175496101379395,False,False,False,-2.139697790145874,-2.139697790145874,1.0690770149230957,1.0690770149230957,414.673583984375,414.673583984375,389.9839172363281,389.9839172363281,2229.713134765625,2229.713134765625,1369.517578125,1369.517578125,-1470.041259765625,-1470.041259765625
43672,0,580,5,3,23,A1,pct_button,50,,,-6.6827844977378845,False,False,False,-2.139697790145874,-2.995802402496338,1.0690770149230957,0.34558984637260437,414.673583984375,414.673583984375,389.9839172363281,389.9839172363281,2229.713134765625,2229.713134765625,1369.517578125,1369.517578125,-1470.041259765625,-1470.041259765625
43680,0,580,6,1,21,A1,pct_button,20,,,-5.831347107887268,False,False,False,-2.995802402496338,-2.8039581775665283,0.34558984637260437,0.11171537637710571,414.673583984375,414.673583984375,389.9839172363281,389.9839172363281,2229.713134765625,2229.713134765625,1369.517578125,1369.517578125,-1470.041259765625,-1470.041259765625
43688,0,580,7,0,20,A1,pct_button,10,,,-5.579174697399139,False,False,False,-2.8039581775665283,-2.753474235534668,0.11171537637710571,0.03611311316490173,414.673583984375,414.673583984375,389.9839172363281,389.9839172363281,2229.713134765625,2229.713134765625,1369.517578125,1369.517578125,-1470.041259765625,-1470.041259765625
43696,0,580,8,12,40,C1,pct_button,100,,,4.318613119423389,True,True,False,-2.753474235534668,-2.640711545944214,0.03611311316490173,9.616140365600586,414.673583984375,477.17950439453125,389.9839172363281,248.4958953857422,2229.713134765625,2353.314697265625,1369.517578125,2613.672119140625,-1470.041259765625,2936.79052734375
