t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after
26672,3,60,-1,,,,,,,,,False,False,False,19.27519416809082,19.27519416809082,38.64459228515625,38.64459228515625
26672,3,60,0,10,38,C1,pct_button,30,,,9.62814846038818,False,False,False,19.27519416809082,19.939577102661133,38.64459228515625,33.697505950927734
26680,3,60,1,3,23,A1,pct_button,50,,,22.819891643524162,False,False,False,19.939577102661133,30.494001388549805,33.697505950927734,12.154622077941895
26688,3,60,2,11,39,C1,pct_button,50,,,21.88724193572998,False,False,False,30.494001388549805,20.90533447265625,12.154622077941895,11.114870071411133
26696,3,60,3,12,40,C1,pct_button,100,,,18.30150981903076,False,False,False,20.90533447265625,13.30274486541748,11.114870071411133,9.792658805847168
26704,3,60,4,9,37,C1,pct_button,20,,,-3.424564075469968,False,False,False,13.30274486541748,11.219147682189941,9.792658805847168,13.834070205688477
26712,3,60,5,8,36,C1,pct_button,15,,,0.4910643577575706,False,False,False,11.219147682189941,11.219147682189941,13.834070205688477,13.834070205688477
26720,3,60,6,9,37,C1,pct_button,20,,,5.1981830787658705,False,False,False,11.219147682189941,11.946128845214844,13.834070205688477,10.729756355285645
26728,3,60,7,9,37,C1,pct_button,20,,,-0.8288002014160176,False,False,False,11.946128845214844,10.712464332580566,10.729756355285645,12.606005668640137
26736,3,60,8,11,39,C1,pct_button,50,,,15.358170924186707,False,False,False,10.712464332580566,12.237756729125977,12.606005668640137,3.554550886154175
26744,3,60,9,2,22,A1,pct_button,30,,,-1.3847152566909762,False,False,False,12.237756729125977,14.814489364624023,3.554550886154175,1.8316371440887451
26752,3,60,10,0,20,A1,pct_button,10,,,1.1480503821372972,False,False,False,14.814489364624023,14.521682739257812,1.8316371440887451,1.7077125310897827
26760,3,60,11,2,22,A1,pct_button,30,,,4.534111025333404,False,False,False,14.521682739257812,12.417572021484375,1.7077125310897827,1.6807509660720825
26768,3,60,12,9,37,C1,pct_button,20,,,15.060503988862038,False,False,False,12.417572021484375,6.45627498626709,1.6807509660720825,0.1730896532535553
26776,3,60,13,6,34,C1,pct_button,5,,,-1.1596959257125852,False,False,False,6.45627498626709,6.5546112060546875,0.1730896532535553,0.7223712205886841
26784,3,60,14,6,34,C1,pct_button,5,,,0.8277230167388916,False,False,False,6.5546112060546875,6.588695526123047,0.7223712205886841,0.3386993408203125
26792,3,60,15,10,38,C1,pct_button,30,,,-2.146434197425842,False,False,False,6.588695526123047,6.053441524505615,0.3386993408203125,2.0229341983795166
26800,3,60,16,11,39,C1,pct_button,50,,,0.15152751445770263,False,False,False,6.053441524505615,6.053441524505615,2.0229341983795166,2.0229341983795166
26808,3,60,17,6,34,C1,pct_button,5,,,0.6155040979385384,False,False,False,6.053441524505615,5.873002529144287,2.0229341983795166,1.9690415859222412
26816,3,60,18,4,24,A1,pct_button,100,,,-16.953886318206788,False,False,False,5.873002529144287,-3.2589492797851562,1.9690415859222412,13.219825744628906
26824,3,60,19,2,22,A1,pct_button,30,,,12.99106915950775,False,False,False,-3.2589492797851562,2.263105630874634,13.219825744628906,7.815925121307373
26832,3,60,20,5,33,C1,pct_button,1,,,-0.002164912223817197,False,False,False,2.263105630874634,2.2038214206695557,7.815925121307373,7.973060607910156
26840,3,60,21,5,33,C1,pct_button,1,,,0.2966875028610241,False,False,False,2.2038214206695557,2.209078550338745,7.973060607910156,7.915707588195801
26848,3,60,22,2,22,A1,pct_button,30,,,-4.643991088867187,False,False,False,2.209078550338745,5.882601261138916,7.915707588195801,6.684854984283447
26856,3,60,23,8,36,C1,pct_button,15,,,0.9160373878479022,False,False,False,5.882601261138916,4.569901466369629,6.684854984283447,7.656803131103516
26864,3,60,24,2,22,A1,pct_button,30,,,23.547648767232893,True,True,False,4.569901466369629,18.635211944580078,7.656803131103516,12.391036033630371
