t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after,A2_before,A2_after,B2_before,B2_after,A3_before,A3_after,S3_before,S3_after,C3_before,C3_after
12024,3,120,-1,,,,,,,,,False,False,False,-10.912141799926758,-10.912141799926758,27.84444808959961,27.84444808959961,484.0633850097656,484.0633850097656,193.8005828857422,193.8005828857422,1147.548095703125,1147.548095703125,1555.103271484375,1555.103271484375,-2909.265380859375,-2909.265380859375
12024,3,120,0,2,22,A1,pct_button,30,,,-46.12639236450195,False,False,False,-10.912141799926758,-14.062199592590332,27.84444808959961,9.000996589660645,484.0633850097656,484.0633850097656,193.8005828857422,193.8005828857422,1147.548095703125,1147.548095703125,1555.103271484375,1555.103271484375,-2909.265380859375,-2909.265380859375
12032,3,120,1,2,22,A1,pct_button,30,,,-35.537269592285156,False,False,False,-14.062199592590332,-14.858972549438477,9.000996589660645,2.9096622467041016,484.0633850097656,484.0633850097656,193.8005828857422,193.8005828857422,1147.548095703125,1147.548095703125,1555.103271484375,1555.103271484375,-2909.265380859375,-2909.265380859375
12040,3,120,2,9,37,C1,pct_button,20,,,-31.57808542251587,False,False,False,-14.858972549438477,-12.495444297790527,2.9096622467041016,3.2935984134674072,484.0633850097656,484.0633850097656,193.8005828857422,193.8005828857422,1147.548095703125,1147.548095703125,1555.103271484375,1555.103271484375,-2909.265380859375,-2909.265380859375
12048,3,120,3,0,20,A1,pct_button,10,,,-27.272363424301147,False,False,False,-12.495444297790527,-12.571493148803711,3.2935984134674072,1.0646885633468628,484.0633850097656,484.0633850097656,193.8005828857422,193.8005828857422,1147.548095703125,1147.548095703125,1555.103271484375,1555.103271484375,-2909.265380859375,-2909.265380859375
12056,3,120,4,3,23,A1,pct_button,50,,,-27.272363424301147,False,False,False,-12.571493148803711,-12.571493148803711,1.0646885633468628,1.0646885633468628,484.0633850097656,484.0633850097656,193.8005828857422,193.8005828857422,1147.548095703125,1147.548095703125,1555.103271484375,1555.103271484375,-2909.265380859375,-2909.265380859375
12064,3,120,5,10,38,C1,pct_button,30,,,-21.78676724433899,False,False,False,-12.571493148803711,-9.816664695739746,1.0646885633468628,1.0767189264297485,484.0633850097656,484.0633850097656,193.8005828857422,193.8005828857422,1147.548095703125,1147.548095703125,1555.103271484375,1555.103271484375,-2909.265380859375,-2909.265380859375
12072,3,120,6,5,33,C1,pct_button,1,,,-21.677919626235962,False,False,False,-9.816664695739746,-9.750563621520996,1.0767189264297485,1.0883961915969849,484.0633850097656,484.0633850097656,193.8005828857422,193.8005828857422,1147.548095703125,1147.548095703125,1555.103271484375,1555.103271484375,-2909.265380859375,-2909.265380859375
12080,3,120,7,5,33,C1,pct_button,1,,,-21.482564449310303,False,False,False,-9.750563621520996,-9.665766716003418,1.0883961915969849,1.0755155086517334,484.0633850097656,484.0633850097656,193.8005828857422,193.8005828857422,1147.548095703125,1147.548095703125,1555.103271484375,1555.103271484375,-2909.265380859375,-2909.265380859375
12088,3,120,8,5,33,C1,pct_button,1,,,-21.38754415512085,False,False,False,-9.665766716003418,-9.610016822814941,1.0755155086517334,1.0837552547454834,484.0633850097656,484.0633850097656,193.8005828857422,193.8005828857422,1147.548095703125,1147.548095703125,1555.103271484375,1555.103271484375,-2909.265380859375,-2909.265380859375
