t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after,A2_before,A2_after,B2_before,B2_after,A3_before,A3_after,S3_before,S3_after,C3_before,C3_after
8072,6,80,-1,,,,,,,,,False,False,False,-16.580671310424805,-16.580671310424805,15.246869087219238,15.246869087219238,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8072,6,80,0,3,23,A1,pct_button,50,,,-46.09224605560303,False,False,False,-16.580671310424805,-18.117420196533203,15.246869087219238,4.9287028312683105,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8080,6,80,1,8,36,C1,pct_button,15,,,-39.42735576629639,False,False,False,-18.117420196533203,-14.726227760314941,4.9287028312683105,4.987450122833252,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8088,6,80,2,0,20,A1,pct_button,10,,,-32.6966028213501,False,False,False,-14.726227760314941,-14.736058235168457,4.987450122833252,1.6122431755065918,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8096,6,80,3,2,22,A1,pct_button,30,,,-30.75902032852173,False,False,False,-14.736058235168457,-14.858336448669434,1.6122431755065918,0.5211737155914307,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8104,6,80,4,7,35,C1,pct_button,10,,,-26.865506410598755,False,False,False,-14.858336448669434,-12.96749210357666,0.5211737155914307,0.4652611017227173,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8112,6,80,5,2,22,A1,pct_button,30,,,-27.19859915971756,False,False,False,-12.96749210357666,-13.448899269104004,0.4652611017227173,0.150400310754776,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8120,6,80,6,7,35,C1,pct_button,10,,,-23.732271820306778,False,False,False,-13.448899269104004,-11.78647518157959,0.150400310754776,0.07966072857379913,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8128,6,80,7,5,33,C1,pct_button,1,,,-23.421947702765465,False,False,False,-11.78647518157959,-11.639723777770996,0.07966072857379913,0.0712500736117363,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8136,6,80,8,7,35,C1,pct_button,10,,,-20.703389331698418,False,False,False,-11.639723777770996,-10.289168357849121,0.0712500736117363,0.06252630800008774,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8144,6,80,9,4,24,A1,pct_button,100,,,-20.703389331698418,False,False,False,-10.289168357849121,-10.289168357849121,0.06252630800008774,0.06252630800008774,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8152,6,80,10,1,21,A1,pct_button,20,,,-20.729414146393538,False,False,False,-10.289168357849121,-10.344494819641113,0.06252630800008774,0.02021225355565548,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8160,6,80,11,2,22,A1,pct_button,30,,,-20.57159843388945,False,False,False,-10.344494819641113,-10.279265403747559,0.02021225355565548,0.006533813197165728,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8168,6,80,12,6,34,C1,pct_button,5,,,-19.586773611605167,False,False,False,-10.279265403747559,-9.753554344177246,0.006533813197165728,0.0398324616253376,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8176,6,80,13,4,24,A1,pct_button,100,,,-24.142297208309174,False,False,False,-9.753554344177246,-12.058272361755371,0.0398324616253376,0.012876242399215698,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8184,6,80,14,3,23,A1,pct_button,50,,,-23.106917506083846,False,False,False,-12.058272361755371,-11.549296379089355,0.012876242399215698,0.004162373952567577,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8192,6,80,15,3,23,A1,pct_button,50,,,-21.74977853661403,False,False,False,-11.549296379089355,-10.873543739318848,0.004162373952567577,0.0013455289881676435,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8200,6,80,16,0,20,A1,pct_button,10,,,-21.967701118672267,False,False,False,-10.873543739318848,-10.983415603637695,0.0013455289881676435,0.00043495569843798876,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8208,6,80,17,9,37,C1,pct_button,20,,,-17.172245740890503,False,False,False,-10.983415603637695,-8.30172061920166,0.00043495569843798876,0.2844022512435913,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8216,6,80,18,9,37,C1,pct_button,20,,,-13.122359175235033,False,False,False,-8.30172061920166,-6.545129776000977,0.2844022512435913,0.016049811616539955,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8224,6,80,19,9,37,C1,pct_button,20,,,-9.930218636989594,False,False,False,-6.545129776000977,-4.794942378997803,0.016049811616539955,0.17016693949699402,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8232,6,80,20,11,39,C1,pct_button,50,,,-5.39344847202301,False,False,False,-4.794942378997803,-2.144212007522583,0.17016693949699402,0.5525122284889221,435.3081359863281,435.3081359863281,256.5499572753906,256.5499572753906,1777.4390869140625,1777.4390869140625,2327.67578125,2327.67578125,1319.8045654296875,1319.8045654296875
8240,6,80,21,11,39,C1,pct_button,50,,,2.4072129130363464,True,True,False,-2.144212007522583,-9.507635116577148,0.5525122284889221,24.178987503051758,435.3081359863281,476.8787841796875,256.5499572753906,438.14947509765625,1777.4390869140625,1350.107177734375,2327.67578125,2310.318359375,1319.8045654296875,808.32177734375
