t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after,A2_before,A2_after,B2_before,B2_after,A3_before,A3_after,S3_before,S3_after,C3_before,C3_after
47616,6,360,-1,,,,,,,,,False,False,False,-9.24227523803711,-9.24227523803711,29.247676849365234,29.247676849365234,320.6730041503906,320.6730041503906,455.7238464355469,455.7238464355469,2199.285888671875,2199.285888671875,2015.6820068359375,2015.6820068359375,1478.09814453125,1478.09814453125
47616,6,360,0,11,39,C1,pct_button,50,,,8.109382276535035,False,False,False,-9.24227523803711,-5.54022741317749,29.247676849365234,29.23781394958496,320.6730041503906,320.6730041503906,455.7238464355469,455.7238464355469,2199.285888671875,2199.285888671875,2015.6820068359375,2015.6820068359375,1478.09814453125,1478.09814453125
47624,6,360,1,2,22,A1,pct_button,30,,,29.01689085006714,False,False,False,-5.54022741317749,-9.076117515563965,29.23781394958496,11.393171310424805,320.6730041503906,320.6730041503906,455.7238464355469,455.7238464355469,2199.285888671875,2199.285888671875,2015.6820068359375,2015.6820068359375,1478.09814453125,1478.09814453125
47632,6,360,2,0,20,A1,pct_button,10,,,14.185973887443543,False,False,False,-9.076117515563965,-9.539151191711426,11.393171310424805,3.967214345932007,320.6730041503906,320.6730041503906,455.7238464355469,455.7238464355469,2199.285888671875,2199.285888671875,2015.6820068359375,2015.6820068359375,1478.09814453125,1478.09814453125
47640,6,360,3,2,22,A1,pct_button,30,,,4.709190101623536,False,False,False,-9.539151191711426,-9.944966316223145,3.967214345932007,1.3143978118896484,320.6730041503906,320.6730041503906,455.7238464355469,455.7238464355469,2199.285888671875,2199.285888671875,2015.6820068359375,2015.6820068359375,1478.09814453125,1478.09814453125
47648,6,360,4,2,22,A1,pct_button,30,,,0.9251131200790412,False,False,False,-9.944966316223145,-10.004758834838867,1.3143978118896484,0.8960568904876709,320.6730041503906,320.6730041503906,455.7238464355469,455.7238464355469,2199.285888671875,2199.285888671875,2015.6820068359375,2015.6820068359375,1478.09814453125,1478.09814453125
47656,6,360,5,1,21,A1,pct_button,20,,,-0.34994987249374376,False,False,False,-10.004758834838867,-10.058884620666504,0.8960568904876709,1.1237322092056274,320.6730041503906,320.6730041503906,455.7238464355469,455.7238464355469,2199.285888671875,2199.285888671875,2015.6820068359375,2015.6820068359375,1478.09814453125,1478.09814453125
47664,6,360,6,1,21,A1,pct_button,20,,,0.4548800766468035,False,False,False,-10.058884620666504,-10.196928977966309,1.1237322092056274,0.8638556599617004,320.6730041503906,320.6730041503906,455.7238464355469,455.7238464355469,2199.285888671875,2199.285888671875,2015.6820068359375,2015.6820068359375,1478.09814453125,1478.09814453125
47672,6,360,7,2,22,A1,pct_button,30,,,0.9574263894557953,False,False,False,-10.196928977966309,-10.215743064880371,0.8638556599617004,0.4681674838066101,320.6730041503906,320.6730041503906,455.7238464355469,455.7238464355469,2199.285888671875,2199.285888671875,2015.6820068359375,2015.6820068359375,1478.09814453125,1478.09814453125
47680,6,360,8,3,23,A1,pct_button,50,,,-2.880082223415373,False,False,False,-10.215743064880371,-10.772574424743652,0.4681674838066101,1.468790888786316,320.6730041503906,320.6730041503906,455.7238464355469,455.7238464355469,2199.285888671875,2199.285888671875,2015.6820068359375,2015.6820068359375,1478.09814453125,1478.09814453125
