t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after,A2_before,A2_after,B2_before,B2_after,A3_before,A3_after,S3_before,S3_after,C3_before,C3_after
48896,2,650,-1,,,,,,,,,False,False,False,19.976181030273438,19.976181030273438,41.374752044677734,41.374752044677734,199.8625030517578,199.8625030517578,415.9056091308594,415.9056091308594,1406.2442626953125,1406.2442626953125,1904.190673828125,1904.190673828125,-2801.377197265625,-2801.377197265625
48896,2,650,0,0,20,A1,pct_button,10,,,-64.09844779968262,False,False,False,19.976181030273438,18.674421310424805,41.374752044677734,13.374802589416504,199.8625030517578,199.8625030517578,415.9056091308594,415.9056091308594,1406.2442626953125,1406.2442626953125,1904.190673828125,1904.190673828125,-2801.377197265625,-2801.377197265625
48904,2,650,1,1,21,A1,pct_button,20,,,-44.51944541931152,False,False,False,18.674421310424805,17.93618392944336,13.374802589416504,4.323538780212402,199.8625030517578,199.8625030517578,415.9056091308594,415.9056091308594,1406.2442626953125,1406.2442626953125,1904.190673828125,1904.190673828125,-2801.377197265625,-2801.377197265625
48912,2,650,2,0,20,A1,pct_button,10,,,-38.31459856033325,False,False,False,17.93618392944336,17.759672164916992,4.323538780212402,1.3976271152496338,199.8625030517578,199.8625030517578,415.9056091308594,415.9056091308594,1406.2442626953125,1406.2442626953125,1904.190673828125,1904.190673828125,-2801.377197265625,-2801.377197265625
48920,2,650,3,12,40,C1,pct_button,100,,,-25.40433168411255,False,False,False,17.759672164916992,-10.570101737976074,1.3976271152496338,2.1320641040802,199.8625030517578,199.8625030517578,415.9056091308594,415.9056091308594,1406.2442626953125,1406.2442626953125,1904.190673828125,1904.190673828125,-2801.377197265625,-2801.377197265625
48928,2,650,4,2,22,A1,pct_button,30,,,-23.22176206111908,False,False,False,-10.570101737976074,-10.921669960021973,2.1320641040802,0.6892110705375671,199.8625030517578,199.8625030517578,415.9056091308594,415.9056091308594,1406.2442626953125,1406.2442626953125,1904.190673828125,1904.190673828125,-2801.377197265625,-2801.377197265625
48936,2,650,5,12,40,C1,pct_button,100,,,-8.944315433502197,False,False,False,-10.921669960021973,3.079087018966675,0.6892110705375671,1.3930706977844238,199.8625030517578,199.8625030517578,415.9056091308594,415.9056091308594,1406.2442626953125,1406.2442626953125,1904.190673828125,1904.190673828125,-2801.377197265625,-2801.377197265625
48944,2,650,6,12,40,C1,pct_button,100,,,-4.614617466926575,False,False,False,3.079087018966675,-1.346229076385498,1.3930706977844238,0.9610796570777893,199.8625030517578,199.8625030517578,415.9056091308594,415.9056091308594,1406.2442626953125,1406.2442626953125,1904.190673828125,1904.190673828125,-2801.377197265625,-2801.377197265625
48952,2,650,7,2,22,A1,pct_button,30,,,-3.5348896980285645,False,False,False,-1.346229076385498,-1.4567662477493286,0.9610796570777893,0.3106786012649536,199.8625030517578,199.8625030517578,415.9056091308594,415.9056091308594,1406.2442626953125,1406.2442626953125,1904.190673828125,1904.190673828125,-2801.377197265625,-2801.377197265625
48960,2,650,8,1,21,A1,pct_button,20,,,-2.9260720312595367,False,False,False,-1.4567662477493286,-1.3626060485839844,0.3106786012649536,0.100429967045784,199.8625030517578,199.8625030517578,415.9056091308594,415.9056091308594,1406.2442626953125,1406.2442626953125,1904.190673828125,1904.190673828125,-2801.377197265625,-2801.377197265625
48968,2,650,9,0,20,A1,pct_button,10,,,-2.9245646223425865,False,False,False,-1.3626060485839844,-1.4298173189163208,0.100429967045784,0.03246499225497246,199.8625030517578,199.8625030517578,415.9056091308594,415.9056091308594,1406.2442626953125,1406.2442626953125,1904.190673828125,1904.190673828125,-2801.377197265625,-2801.377197265625
48976,2,650,10,1,21,A1,pct_button,20,,,-3.5056069754064083,False,False,False,-1.4298173189163208,-1.7423088550567627,0.03246499225497246,0.01049463264644146,199.8625030517578,199.8625030517578,415.9056091308594,415.9056091308594,1406.2442626953125,1406.2442626953125,1904.190673828125,1904.190673828125,-2801.377197265625,-2801.377197265625
48984,2,650,11,12,40,C1,pct_button,100,,,-2.5080003775656223,False,False,False,-1.7423088550567627,1.2384554147720337,0.01049463264644146,0.015544774010777473,199.8625030517578,199.8625030517578,415.9056091308594,415.9056091308594,1406.2442626953125,1406.2442626953125,1904.190673828125,1904.190673828125,-2801.377197265625,-2801.377197265625
48992,2,650,12,0,20,A1,pct_button,10,,,2.728511623106897,True,True,False,1.2384554147720337,-11.767662048339844,0.015544774010777473,7.629613876342773,199.8625030517578,475.6216125488281,415.9056091308594,300.9183349609375,1406.2442626953125,1149.239990234375,1904.190673828125,1598.5693359375,-2801.377197265625,965.4014892578125
