t,env_id,episode_id,step_in_ep,action_sub_idx,base_action_idx,target,type,pct,step,dir,reward,done,gate_ok,deviation_exploded,C1_before,C1_after,A1_before,A1_after
936,3,10,-1,,,,,,,,,False,False,False,-15.650757789611816,-15.650757789611816,47.941925048828125,47.941925048828125
936,3,10,0,6,34,C1,pct_button,5,,,2.162611885070808,False,False,False,-15.650757789611816,-15.123865127563477,47.941925048828125,48.01388931274414
944,3,10,1,12,40,C1,pct_button,100,,,1.2527550888061592,False,False,False,-15.123865127563477,-15.123865127563477,48.01388931274414,48.01388931274414
952,3,10,2,12,40,C1,pct_button,100,,,19.229240226745606,False,False,False,-15.123865127563477,-5.393537521362305,48.01388931274414,48.665184020996094
960,3,10,3,9,37,C1,pct_button,20,,,1.0711744308471702,False,False,False,-5.393537521362305,-5.393537521362305,48.665184020996094,48.665184020996094
968,3,10,4,1,21,A1,pct_button,20,,,61.12348285675049,False,False,False,-5.393537521362305,-8.405961990356445,48.665184020996094,15.323310852050781
976,3,10,5,9,37,C1,pct_button,20,,,2.4808327865600557,False,False,False,-8.405961990356445,-7.134006500244141,15.323310852050781,15.576959609985352
984,3,10,6,0,20,A1,pct_button,10,,,16.36770468711853,False,False,False,-7.134006500244141,-7.585004806518555,15.576959609985352,7.083796977996826
992,3,10,7,0,20,A1,pct_button,10,,,9.173734197616577,False,False,False,-7.585004806518555,-7.914641380310059,7.083796977996826,2.26408052444458
1000,3,10,8,7,35,C1,pct_button,10,,,1.3517465829849244,False,False,False,-7.914641380310059,-7.3835530281066895,2.26408052444458,2.210233449935913
1008,3,10,9,10,38,C1,pct_button,30,,,5.058278081417084,False,False,False,-7.3835530281066895,-5.479807376861572,2.210233449935913,1.6511496305465698
1016,3,10,10,5,33,C1,pct_button,1,,,0.21770481824874977,False,False,False,-5.479807376861572,-5.439692974090576,1.6511496305465698,1.6482914686203003
1024,3,10,11,1,21,A1,pct_button,20,,,2.392257828116417,False,False,False,-5.439692974090576,-5.535245895385742,1.6482914686203003,0.41107282042503357
1032,3,10,12,8,36,C1,pct_button,15,,,0.10892637431621545,False,False,False,-5.535245895385742,-5.535245895385742,0.41107282042503357,0.41107282042503357
1040,3,10,13,8,36,C1,pct_button,15,,,0.9730029106140134,False,False,False,-5.535245895385742,-4.853846549987793,0.41107282042503357,0.6560698747634888
1048,3,10,14,6,34,C1,pct_button,5,,,0.48087990880012454,False,False,False,-4.853846549987793,-4.621792316436768,0.6560698747634888,0.6958606839179993
1056,3,10,15,8,36,C1,pct_button,15,,,0.3532146561145788,False,False,False,-4.621792316436768,-4.312712669372559,0.6958606839179993,0.8752122521400452
1064,3,10,16,0,20,A1,pct_button,10,,,0.30549031853675834,False,False,False,-4.312712669372559,-4.342167377471924,0.8752122521400452,0.7388222813606262
1072,3,10,17,11,39,C1,pct_button,50,,,3.588787150382996,False,False,False,-4.342167377471924,-2.903144359588623,0.7388222813606262,0.41159915924072266
1080,3,10,18,6,34,C1,pct_button,5,,,0.47412313044071186,False,False,False,-2.903144359588623,-2.753429412841797,0.41159915924072266,0.3502897322177887
1088,3,10,19,7,35,C1,pct_button,10,,,0.7572494971752171,False,False,False,-2.753429412841797,-2.4242022037506104,0.3502897322177887,0.3233678936958313
1096,3,10,20,3,23,A1,pct_button,50,,,-3.191687564849854,False,False,False,-2.4242022037506104,-2.311617374420166,0.3233678936958313,2.0706188678741455
1104,3,10,21,12,40,C1,pct_button,100,,,-0.8649043369293212,False,False,False,-2.311617374420166,1.4383373260498047,2.0706188678741455,3.419933795928955
1112,3,10,22,0,20,A1,pct_button,10,,,0.08716542243957527,False,False,False,1.4383373260498047,1.4383373260498047,3.419933795928955,3.419933795928955
1120,3,10,23,1,21,A1,pct_button,20,,,10.912106798887253,True,True,False,1.4383373260498047,6.843226909637451,3.419933795928955,41.75740051269531
